"Date","ten_yr_hungary","ten_yr_us","RiskPremium"
1999-01-31,9.09,4.66,4.43
1999-02-28,9.51,5.29,4.22
1999-03-31,9.79,5.25,4.54
1999-04-30,9.63,5.36,4.27
1999-05-31,9.82,5.64,4.18
1999-06-30,10.14,5.81,4.33
1999-07-31,10.16,5.92,4.24
1999-08-31,10.53,5.98,4.55
1999-09-30,10.84,5.9,4.94
1999-10-31,10.25,6.02,4.23
1999-11-30,9.55,6.18,3.37
1999-12-31,8.86,6.45,2.41
2000-01-31,8.85,6.68,2.17
2000-02-29,8.25,6.42,1.83
2000-03-31,8.25,6.03,2.22
2000-04-30,8.34,6.23,2.11
2000-05-31,8.9,6.29,2.61
2000-06-30,8.37,6.03,2.34
2000-07-31,8.12,6.04,2.08
2000-08-31,7.98,5.73,2.25
2000-09-30,8.45,5.8,2.65
2000-10-31,9.15,5.77,3.38
2000-11-30,8.99,5.48,3.51
2000-12-31,8,5.12,2.88
2001-01-31,8.24,5.19,3.05
2001-02-28,8.41,4.92,3.49
2001-03-31,8.66,4.93,3.73
2001-04-30,8.59,5.35,3.24
2001-05-31,7.98,5.43,2.55
2001-06-30,7.76,5.42,2.34
2001-07-31,7.7,5.07,2.63
2001-08-31,7.79,4.85,2.94
2001-09-30,8.01,4.6,3.41
2001-10-31,7.87,4.3,3.57
2001-11-30,7.31,4.78,2.53
2001-12-31,7.1,5.07,2.03
2002-01-31,6.78,5.07,1.71
2002-02-28,6.98,4.88,2.1
2002-03-31,6.78,5.42,1.36
2002-04-30,6.84,5.11,1.73
2002-05-31,7.27,5.08,2.19
2002-06-30,7.72,4.86,2.86
2002-07-31,7.62,4.51,3.11
2002-08-31,7.45,4.14,3.31
2002-09-30,7.18,3.63,3.55
2002-10-31,6.98,3.93,3.05
2002-11-30,6.63,4.22,2.41
2002-12-31,6.46,3.83,2.63
2003-01-31,6.2,4,2.2
2003-02-28,6.28,3.71,2.57
2003-03-31,6.42,3.83,2.59
2003-04-30,6.19,3.89,2.3
2003-05-31,5.98,3.37,2.61
2003-06-30,6.71,3.54,3.17
2003-07-31,7.18,4.49,2.69
2003-08-31,7.13,4.45,2.68
2003-09-30,6.93,3.96,2.97
2003-10-31,7.89,4.33,3.56
2003-11-30,8.94,4.34,4.6
2003-12-31,7.95,4.27,3.68
2004-01-31,8.49,4.16,4.33
2004-02-29,8.45,3.99,4.46
2004-03-31,7.71,3.86,3.85
2004-04-30,8.03,4.53,3.5
2004-05-31,8.33,4.66,3.67
2004-06-30,8.58,4.62,3.96
2004-07-31,8.36,4.5,3.86
2004-08-31,8.65,4.13,4.52
2004-09-30,8.44,4.14,4.3
2004-10-31,7.96,4.05,3.91
2004-11-30,7.54,4.36,3.18
2004-12-31,7.05,4.24,2.81
2005-01-31,7.23,4.14,3.09
2005-02-28,6.62,4.36,2.26
2005-03-31,6.95,4.5,2.45
2005-04-30,7.06,4.21,2.85
2005-05-31,7,4,3
2005-06-30,6.25,3.94,2.31
2005-07-31,6.02,4.28,1.74
2005-08-31,5.52,4.02,1.5
2005-09-30,6.18,4.34,1.84
2005-10-31,6.73,4.57,2.16
2005-11-30,6.71,4.49,2.22
2005-12-31,6.97,4.39,2.58
2006-01-31,6.95,4.53,2.42
2006-02-28,6.8,4.55,2.25
2006-03-31,7.11,4.86,2.25
2006-04-30,6.84,5.07,1.77
2006-05-31,6.81,5.12,1.69
2006-06-30,7.94,5.15,2.79
2006-07-31,7.24,4.99,2.25
2006-08-31,7.6,4.74,2.86
2006-09-30,7.6,4.64,2.96
2006-10-31,7.22,4.61,2.61
2006-11-30,6.9,4.46,2.44
2006-12-31,6.71,4.71,2
2007-01-31,7.05,4.83,2.22
2007-02-28,7,4.56,2.44
2007-03-31,6.68,4.65,2.03
2007-04-30,6.55,4.63,1.92
2007-05-31,6.54,4.9,1.64
2007-06-30,6.63,5.03,1.6
2007-07-31,6.7,4.78,1.92
2007-08-31,6.75,4.54,2.21
2007-09-30,6.62,4.59,2.03
2007-10-31,6.56,4.48,2.08
2007-11-30,6.83,3.97,2.86
2007-12-31,7.08,4.04,3.04
2008-01-31,7.2,3.67,3.53
2008-02-29,8.18,3.53,4.65
2008-03-31,8.56,3.45,5.11
2008-04-30,8.1,3.77,4.33
2008-05-31,8.1,4.06,4.04
2008-06-30,8.5,3.99,4.51
2008-07-31,7.81,3.99,3.82
2008-08-31,7.93,3.83,4.1
2008-09-30,8.17,3.85,4.32
2008-10-31,9.79,4.01,5.78
