"Date","ten_yr_poland","ten_yr_us","RiskPremium"
1999-05-31,8.61,5.64,2.97
1999-06-30,8.77,5.81,2.96
1999-07-31,9.12,5.92,3.2
1999-08-31,9.22,5.98,3.24
1999-09-30,9.53,5.9,3.63
1999-10-31,10.77,6.02,4.75
1999-11-30,10.71,6.18,4.53
1999-12-31,10.714,6.45,4.26
2000-01-31,10.06,6.68,3.38
2000-02-29,10.59,6.42,4.17
2000-03-31,10.5,6.03,4.47
2000-04-30,10.71,6.23,4.48
2000-05-31,11.95,6.29,5.66
2000-06-30,12.54,6.03,6.51
2000-07-31,12.46,6.04,6.42
2000-08-31,12.65,5.73,6.92
2000-09-30,12.36,5.8,6.56
2000-10-31,13.31,5.77,7.54
2000-11-30,12.81,5.48,7.33
2000-12-31,11.51,5.12,6.39
2001-01-31,10.39,5.19,5.2
2001-02-28,10.27,4.92,5.35
2001-03-31,10.63,4.93,5.7
2001-04-30,10.94,5.35,5.59
2001-05-31,11.48,5.43,6.05
2001-06-30,11.57,5.42,6.15
2001-07-31,11.56,5.07,6.49
2001-08-31,11.69,4.85,6.84
2001-09-30,11.16,4.6,6.56
2001-10-31,10.3,4.3,6
2001-11-30,8.92,4.78,4.14
2001-12-31,8.82,5.07,3.75
2002-01-31,8.29,5.07,3.22
2002-02-28,8.32,4.88,3.44
2002-03-31,8.42,5.42,3
2002-04-30,8.12,5.11,3.01
2002-05-31,7.86,5.08,2.78
2002-06-30,7.28,4.86,2.42
2002-07-31,7.42,4.51,2.91
2002-08-31,7.17,4.14,3.03
2002-09-30,6.39,3.63,2.76
2002-10-31,6.02,3.93,2.09
2002-11-30,6.02,4.22,1.8
2002-12-31,5.56,3.83,1.73
2003-01-31,5.72,4,1.72
2003-02-28,5.53,3.71,1.82
2003-03-31,5.45,3.83,1.62
2003-04-30,5.28,3.89,1.39
2003-05-31,5.02,3.37,1.65
2003-06-30,5.1,3.54,1.56
2003-07-31,5.67,4.49,1.18
2003-08-31,5.63,4.45,1.18
2003-09-30,6.07,3.96,2.11
2003-10-31,7.14,4.33,2.81
2003-11-30,7.31,4.34,2.97
2003-12-31,6.49,4.27,2.22
2004-01-31,6.86,4.16,2.7
2004-02-29,6.72,3.99,2.73
2004-03-31,6.66,3.86,2.8
2004-04-30,7.2,4.53,2.67
2004-05-31,7.35,4.66,2.69
2004-06-30,7.21,4.62,2.59
2004-07-31,7.48,4.5,2.98
2004-08-31,7.3,4.13,3.17
2004-09-30,6.74,4.14,2.6
2004-10-31,6.75,4.05,2.7
2004-11-30,6.39,4.36,2.03
2004-12-31,5.78,4.24,1.54
2005-01-31,5.95,4.14,1.81
2005-02-28,5.46,4.36,1.1
2005-03-31,5.48,4.5,0.98
2005-04-30,5.55,4.21,1.34
2005-05-31,5.1,4,1.1
2005-06-30,4.66,3.94,0.72
2005-07-31,4.91,4.28,0.63
2005-08-31,4.72,4.02,0.7
2005-09-30,4.71,4.34,0.37
2005-10-31,5.27,4.57,0.7
2005-11-30,5.33,4.49,0.84
2005-12-31,5.1,4.39,0.71
2006-01-31,5.04,4.53,0.51
2006-02-28,4.59,4.55,0.04
2006-03-31,4.97,4.86,0.11
2006-04-30,5.17,5.07,0.1
2006-05-31,5.33,5.12,0.21
2006-06-30,5.68,5.15,0.53
2006-07-31,5.58,4.99,0.59
2006-08-31,5.59,4.74,0.85
2006-09-30,5.5,4.64,0.86
2006-10-31,5.23,4.61,0.62
2006-11-30,5.15,4.46,0.69
2006-12-31,5.21,4.71,0.5
2007-01-31,5.15,4.83,0.32
2007-02-28,5.22,4.56,0.66
2007-03-31,5.19,4.65,0.54
2007-04-30,5.31,4.63,0.68
2007-05-31,5.31,4.9,0.41
2007-06-30,5.62,5.03,0.59
2007-07-31,5.59,4.78,0.81
2007-08-31,5.77,4.54,1.23
2007-09-30,5.68,4.59,1.09
2007-10-31,5.5,4.48,1.02
2007-11-30,5.78,3.97,1.81
2007-12-31,5.92,4.04,1.88
2008-01-31,5.66,3.67,1.99
2008-02-29,5.95,3.53,2.42
2008-03-31,5.96,3.45,2.51
2008-04-30,5.97,3.77,2.2
2008-05-31,6.27,4.06,2.21
2008-06-30,6.61,3.99,2.62
2008-07-31,6.24,3.99,2.25
2008-08-31,6.05,3.83,2.22
2008-09-30,5.84,3.85,1.99
2008-10-31,6.6,4.01,2.59
2008-11-30,5.86,2.93,2.93
2008-12-31,5.47,2.25,3.22
2009-01-31,5.71,2.87,2.84
2009-02-28,6.18,3.02,3.16
2009-03-31,6.27,2.71,3.56
2009-04-30,6.18,3.16,3.02
2009-05-31,6.3,3.47,2.83
2009-06-30,6.29,3.53,2.76
2009-07-31,6.08,3.52,2.56
2009-08-31,6.08,3.4,2.68
2009-09-30,6.19,3.31,2.88
2009-10-31,6.12,3.41,2.71
2009-11-30,6.16,3.21,2.95
2009-12-31,6.23,3.85,2.38
2010-01-31,6.09,3.63,2.46
2010-02-28,5.99,3.61,2.38
2010-03-31,5.52,3.84,1.68
2010-04-30,5.58,3.69,1.89
2010-05-31,5.75,3.31,2.44
2010-06-30,5.93,2.97,2.96
2010-07-31,5.87,2.94,2.93
2010-08-31,5.43,2.47,2.96
2010-09-30,5.48,2.53,2.95
2010-10-31,5.64,2.63,3.01
2010-11-30,6.04,2.81,3.23
2010-12-31,6.05,3.38,2.67
2011-01-31,6.32,3.42,2.9
2011-02-28,6.22,3.59,2.63
2011-03-31,6.26,3.47,2.79
2011-04-30,6.11,3.42,2.69
2011-05-31,6.04,3.07,2.97
2011-06-30,5.75,3.18,2.57
2011-07-31,5.8,2.82,2.98
2011-08-31,5.55,2.23,3.32
2011-09-30,5.87,1.92,3.95
2011-10-31,5.67,2.17,3.5
2011-11-30,5.9,2.08,3.82
2011-12-31,5.83,1.89,3.94
2012-01-31,5.49,1.83,3.66
2012-02-29,5.37,1.98,3.39
2012-03-31,5.41,2.23,3.18
2012-04-30,5.39,1.95,3.44
2012-05-31,5.44,1.59,3.85
2012-06-30,5.14,1.67,3.47
2012-07-31,4.85,1.51,3.34
2012-08-31,4.85,1.57,3.28
2012-09-30,4.68,1.65,3.03
2012-10-31,4.5,1.72,2.78
2012-11-30,4.01,1.62,2.39
2012-12-31,3.71,1.78,1.93
2013-01-31,3.92,2.02,1.9
2013-02-28,3.96,1.89,2.07
2013-03-31,3.92,1.87,2.05
2013-04-30,3.25,1.7,1.55
2013-05-31,3.57,2.16,1.41
2013-06-30,4.34,2.52,1.82
2013-07-31,4.07,2.6,1.47
2013-08-31,4.43,2.78,1.65
2013-09-30,4.46,2.64,1.82
2013-10-31,4.17,2.57,1.6
2013-11-30,4.51,2.75,1.76
2013-12-31,4.32,3.04,1.28
2014-01-31,4.69,2.67,2.02
2014-02-28,4.36,2.66,1.7
2014-03-31,4.22,2.73,1.49
2014-04-30,4.03,2.67,1.36
2014-05-31,3.67,2.48,1.19
2014-06-30,3.43,2.53,0.9
2014-07-31,3.4,2.58,0.82
2014-08-31,3.25,2.35,0.9
2014-09-30,3.04,2.52,0.52
2014-10-31,2.53,2.35,0.18
2014-11-30,2.38,2.18,0.2
2014-12-31,2.5,2.17,0.33
2015-01-31,1.97,1.68,0.29
2015-02-28,2.16,2.03,0.13
2015-03-31,2.3,1.94,0.36
2015-04-30,2.61,2.05,0.56
2015-05-31,2.93,2.12,0.81
2015-06-30,3.31,2.35,0.96
2015-07-31,2.93,2.2,0.73
2015-08-31,2.92,2.21,0.71
2015-09-30,2.82,2.06,0.76
2015-10-31,2.66,2.16,0.5
2015-11-30,2.67,2.21,0.46
2015-12-31,2.91,2.27,0.64
2016-01-31,2.95,1.94,1.01
2016-02-29,2.94,1.74,1.2
2016-03-31,2.83,1.78,1.05
2016-04-30,3.07,1.83,1.24
2016-05-31,3.1,1.84,1.26
2016-06-30,2.92,1.49,1.43
2016-07-31,2.88,1.46,1.42
2016-08-31,2.76,1.58,1.18
2016-09-30,2.91,1.6,1.31
2016-10-31,3.08,1.84,1.24
2016-11-30,3.63,2.37,1.26
2016-12-31,3.63,2.45,1.18
2017-01-31,3.76,2.45,1.31
2017-02-28,3.79,2.36,1.43
2017-03-31,3.47,2.4,1.07
2017-04-30,3.43,2.29,1.14
2017-05-31,3.22,2.21,1.01
2017-06-30,3.3,2.31,0.99
2017-07-31,3.34,2.3,1.04
2017-08-31,3.28,2.12,1.16
2017-09-30,3.36,2.33,1.03
2017-10-31,3.43,2.38,1.05
2017-11-30,3.34,2.42,0.92
2017-12-31,3.29,2.4,0.89
2018-01-31,3.41,2.72,0.69
2018-02-28,3.26,2.87,0.39
2018-03-31,3.17,2.74,0.43
2018-04-30,3.07,2.95,0.12
2018-05-31,3.23,2.83,0.4
2018-06-30,3.2,2.85,0.35
2018-07-31,3.16,2.96,0.2
2018-08-31,3.18,2.86,0.32
2018-09-30,3.23,3.05,0.18
2018-10-31,3.2,3.15,0.05
2018-11-30,3.04,3.01,0.03
2018-12-31,2.82,2.69,0.13
2019-01-31,2.71,2.63,0.08
2019-02-28,2.83,2.73,0.1
2019-03-31,2.7,2.41,0.29
2019-04-30,2.86,2.51,0.35
2019-05-31,2.52,2.14,0.38
