Date,Ticker,Close,Annual_Percent_Change
12/31/1992,FR.INR.RISK.NGA,6.8666667,
12/31/1993,FR.INR.RISK.NGA,7.15,4.126213087
12/31/1994,FR.INR.RISK.NGA,7.6166667,6.526806993
12/31/1995,FR.INR.RISK.NGA,7.7333333,1.531727783
12/31/1996,FR.INR.RISK.NGA,7.5866667,-1.89655087
12/31/1997,FR.INR.RISK.NGA,5.795,-23.61599331
12/31/1998,FR.INR.RISK.NGA,5.9258333,2.257692839
12/31/1999,FR.INR.RISK.NGA,2.4733333,-58.26184817
12/31/2000,FR.INR.RISK.NGA,5.7741667,133.4568778
12/31/2001,FR.INR.RISK.NGA,5.9383333,2.843121935
12/31/2002,FR.INR.RISK.NGA,5.7383333,-3.367948377
12/31/2003,FR.INR.RISK.NGA,5.9233333,3.223932636
12/31/2004,FR.INR.RISK.NGA,4.8416667,-18.26111321
12/31/2005,FR.INR.RISK.NGA,10.32,113.1497404
12/31/2006,FR.INR.RISK.NGA,6.9083333,-33.05878585
12/31/2007,FR.INR.RISK.NGA,10.0891667,46.043427
12/31/2008,FR.INR.RISK.NGA,7.2806667,-27.83678854
12/31/2009,FR.INR.RISK.NGA,14.5766667,100.210603
12/31/2010,FR.INR.RISK.NGA,13.7366667,-5.762634334
12/31/2011,FR.INR.RISK.NGA,6.3158333,-54.02208237
12/31/2012,FR.INR.RISK.NGA,3.1575,-50.00659691
12/31/2013,FR.INR.RISK.NGA,5.8741667,86.03853365
12/31/2014,FR.INR.RISK.NGA,6.0525,3.035891031
12/31/2015,FR.INR.RISK.NGA,7.4554994,23.18049401
12/31/2016,FR.INR.RISK.NGA,6.7527309,-9.426176065
