"Date","ten_yr","ten_yr_us","RiskPremium"
"2008-02-29",10.854,3.53,7.32
"2008-03-31",10.703,3.45,7.25
"2008-04-30",10.618,3.77,6.85
"2008-05-31",10.639,4.06,6.58
"2008-06-30",12.559,3.99,8.57
"2008-07-31",12.713,3.99,8.72
"2008-08-31",12.869,3.83,9.04
"2008-09-30",12.893,3.85,9.04
"2008-10-31",12.373,4.01,8.36
"2008-11-30",12.306,2.93,9.38
"2008-12-31",12.414,2.25,10.16
"2009-01-31",12.207,2.87,9.34
"2009-02-28",12.135,3.02,9.12
"2009-03-31",11.535,2.71,8.82
"2009-04-30",11.642,3.16,8.48
"2009-05-31",11.454,3.47,7.98
"2009-06-30",11.302,3.53,7.77
"2009-07-31",11.201,3.52,7.68
"2009-08-31",9.959,3.4,6.56
"2009-09-30",9.064,3.31,5.75
"2009-10-31",9.07,3.41,5.66
"2009-11-30",8.278,3.21,5.07
"2009-12-31",8.679,3.85,4.83
"2010-01-31",8.672,3.63,5.04
"2010-02-28",8.086,3.61,4.48
"2010-03-31",6.671,3.84,2.83
"2010-04-30",6.498,3.69,2.81
"2010-05-31",7.147,3.31,3.84
"2010-06-30",7.388,2.97,4.42
"2010-07-31",7.862,2.94,4.92
"2010-08-31",8.299,2.47,5.83
"2010-09-30",8.321,2.53,5.79
"2010-10-31",8.32,2.63,5.69
"2010-11-30",8.33,2.81,5.52
"2010-12-31",8.335,3.38,4.96
"2011-01-31",8.357,3.42,4.94
"2011-02-28",11.949,3.59,8.36
"2011-03-31",12.625,3.47,9.15
"2011-04-30",12.628,3.42,9.21
"2011-05-31",13.064,3.07,9.99
"2011-06-30",12.718,3.18,9.54
"2011-07-31",12.885,2.82,10.06
"2011-08-31",12.76,2.23,10.53
"2011-09-30",11.515,1.92,9.6
"2011-10-31",16.354,2.17,14.18
"2011-11-30",16.385,2.08,14.31
"2011-12-31",15.273,1.89,13.38
"2012-01-31",16.243,1.83,14.41
"2012-02-29",16.411,1.98,14.43
"2012-03-31",16.095,2.23,13.86
"2012-04-30",15.554,1.95,13.6
"2012-05-31",15.564,1.59,13.97
"2012-06-30",16.215,1.67,14.54
"2012-07-31",16.452,1.51,14.94
"2012-08-31",16.385,1.57,14.82
"2012-09-30",13.279,1.65,11.63
"2012-10-31",13.806,1.72,12.09
"2012-11-30",12.997,1.62,11.38
"2012-12-31",12.221,1.78,10.44
"2013-01-31",11.701,2.02,9.68
"2013-02-28",11.219,1.89,9.33
"2013-03-31",11.624,1.87,9.75
"2013-04-30",12.055,1.7,10.36
"2013-05-31",12.311,2.16,10.15
"2013-06-30",14.442,2.52,11.92
"2013-07-31",13.899,2.6,11.3
"2013-08-31",13.738,2.78,10.96
"2013-09-30",13.717,2.64,11.08
"2013-10-31",13.542,2.57,10.97
"2013-11-30",12.818,2.75,10.07
"2013-12-31",13.259,3.04,10.22
"2014-01-31",13.739,2.67,11.07
"2014-02-28",14.061,2.66,11.4
"2014-03-31",14.124,2.73,11.39
"2014-04-30",14.116,2.67,11.45
"2014-05-31",13.049,2.48,10.57
"2014-06-30",12.601,2.53,10.07
"2014-07-31",12.022,2.58,9.44
"2014-08-31",12.225,2.35,9.88
"2014-09-30",12.461,2.52,9.94
"2014-10-31",13.085,2.35,10.74
"2014-11-30",13.887,2.18,11.71
