Date,ten_yr_poland,ten_yr_us,RiskPremium
1999-05-31,8.61,5.64,2.9699999999999998
1999-06-30,8.77,5.81,2.96
1999-07-31,9.12,5.92,3.1999999999999993
1999-08-31,9.22,5.98,3.24
1999-09-30,9.53,5.9,3.629999999999999
1999-10-31,10.77,6.02,4.75
1999-11-30,10.71,6.18,4.530000000000001
1999-12-31,10.714,6.45,4.264
2000-01-31,10.06,6.68,3.380000000000001
2000-02-29,10.59,6.42,4.17
2000-03-31,10.5,6.03,4.47
2000-04-30,10.71,6.23,4.48
2000-05-31,11.95,6.29,5.659999999999999
2000-06-30,12.54,6.03,6.509999999999999
2000-07-31,12.46,6.04,6.420000000000001
2000-08-31,12.65,5.73,6.92
2000-09-30,12.36,5.8,6.56
2000-10-31,13.31,5.77,7.540000000000001
2000-11-30,12.81,5.48,7.33
2000-12-31,11.51,5.12,6.39
2001-01-31,10.39,5.19,5.2
2001-02-28,10.27,4.92,5.35
2001-03-31,10.63,4.93,5.700000000000001
2001-04-30,10.94,5.35,5.59
2001-05-31,11.48,5.43,6.050000000000001
2001-06-30,11.57,5.42,6.15
2001-07-31,11.56,5.07,6.49
2001-08-31,11.69,4.85,6.84
2001-09-30,11.16,4.6,6.5600000000000005
2001-10-31,10.3,4.3,6.000000000000001
2001-11-30,8.92,4.78,4.14
2001-12-31,8.82,5.07,3.75
2002-01-31,8.29,5.07,3.219999999999999
2002-02-28,8.32,4.88,3.4400000000000004
2002-03-31,8.42,5.42,3.0
2002-04-30,8.12,5.11,3.009999999999999
2002-05-31,7.86,5.08,2.7800000000000002
2002-06-30,7.28,4.86,2.42
2002-07-31,7.42,4.51,2.91
2002-08-31,7.17,4.14,3.0300000000000002
2002-09-30,6.39,3.63,2.76
2002-10-31,6.02,3.93,2.0899999999999994
2002-11-30,6.02,4.22,1.7999999999999998
2002-12-31,5.56,3.83,1.7299999999999995
2003-01-31,5.72,4.0,1.7199999999999998
2003-02-28,5.53,3.71,1.8200000000000003
2003-03-31,5.45,3.83,1.62
2003-04-30,5.28,3.89,1.3900000000000001
2003-05-31,5.02,3.37,1.6499999999999995
2003-06-30,5.1,3.54,1.5599999999999996
2003-07-31,5.67,4.49,1.1799999999999997
2003-08-31,5.63,4.45,1.1799999999999997
2003-09-30,6.07,3.96,2.1100000000000003
2003-10-31,7.14,4.33,2.8099999999999996
2003-11-30,7.31,4.34,2.9699999999999998
2003-12-31,6.49,4.27,2.2200000000000006
2004-01-31,6.86,4.16,2.7
2004-02-29,6.72,3.99,2.7299999999999995
2004-03-31,6.66,3.86,2.8000000000000003
2004-04-30,7.2,4.53,2.67
2004-05-31,7.35,4.66,2.6899999999999995
2004-06-30,7.21,4.62,2.59
2004-07-31,7.48,4.5,2.9800000000000004
2004-08-31,7.3,4.13,3.17
2004-09-30,6.74,4.14,2.6000000000000005
2004-10-31,6.75,4.05,2.7
2004-11-30,6.39,4.36,2.0299999999999994
2004-12-31,5.78,4.24,1.54
2005-01-31,5.95,4.14,1.8100000000000005
2005-02-28,5.46,4.36,1.0999999999999996
2005-03-31,5.48,4.5,0.9800000000000004
2005-04-30,5.55,4.21,1.3399999999999999
2005-05-31,5.1,4.0,1.0999999999999996
2005-06-30,4.66,3.94,0.7200000000000002
2005-07-31,4.91,4.28,0.6299999999999999
2005-08-31,4.72,4.02,0.7000000000000002
2005-09-30,4.71,4.34,0.3700000000000001
2005-10-31,5.27,4.57,0.6999999999999993
2005-11-30,5.33,4.49,0.8399999999999999
2005-12-31,5.1,4.39,0.71
2006-01-31,5.04,4.53,0.5099999999999998
2006-02-28,4.59,4.55,0.040000000000000036
2006-03-31,4.97,4.86,0.10999999999999943
2006-04-30,5.17,5.07,0.09999999999999964
2006-05-31,5.33,5.12,0.20999999999999996
2006-06-30,5.68,5.15,0.5299999999999994
2006-07-31,5.58,4.99,0.5899999999999999
2006-08-31,5.59,4.74,0.8499999999999996
2006-09-30,5.5,4.64,0.8600000000000003
2006-10-31,5.23,4.61,0.6200000000000001
2006-11-30,5.15,4.46,0.6900000000000004
2006-12-31,5.21,4.71,0.5
2007-01-31,5.15,4.83,0.3200000000000003
2007-02-28,5.22,4.56,0.6600000000000001
2007-03-31,5.19,4.65,0.54
2007-04-30,5.31,4.63,0.6799999999999997
2007-05-31,5.31,4.9,0.40999999999999925
2007-06-30,5.62,5.03,0.5899999999999999
2007-07-31,5.59,4.78,0.8099999999999996
2007-08-31,5.77,4.54,1.2299999999999995
2007-09-30,5.68,4.59,1.0899999999999999
2007-10-31,5.5,4.48,1.0199999999999996
2007-11-30,5.78,3.97,1.81
2007-12-31,5.92,4.04,1.88
2008-01-31,5.66,3.67,1.9900000000000002
2008-02-29,5.95,3.53,2.4200000000000004
2008-03-31,5.96,3.45,2.51
2008-04-30,5.97,3.77,2.1999999999999997
2008-05-31,6.27,4.06,2.21
2008-06-30,6.61,3.99,2.62
2008-07-31,6.24,3.99,2.25
2008-08-31,6.05,3.83,2.2199999999999998
2008-09-30,5.84,3.85,1.9899999999999998
2008-10-31,6.6,4.01,2.59
2008-11-30,5.86,2.93,2.93
2008-12-31,5.47,2.25,3.2199999999999998
2009-01-31,5.71,2.87,2.84
2009-02-28,6.18,3.02,3.1599999999999997
2009-03-31,6.27,2.71,3.5599999999999996
2009-04-30,6.18,3.16,3.0199999999999996
2009-05-31,6.3,3.47,2.8299999999999996
2009-06-30,6.29,3.53,2.7600000000000002
2009-07-31,6.08,3.52,2.56
2009-08-31,6.08,3.4,2.68
2009-09-30,6.19,3.31,2.8800000000000003
2009-10-31,6.12,3.41,2.71
2009-11-30,6.16,3.21,2.95
2009-12-31,6.23,3.85,2.3800000000000003
2010-01-31,6.09,3.63,2.46
2010-02-28,5.99,3.61,2.3800000000000003
2010-03-31,5.52,3.84,1.6799999999999997
2010-04-30,5.58,3.69,1.8900000000000001
2010-05-31,5.75,3.31,2.44
2010-06-30,5.93,2.97,2.9599999999999995
2010-07-31,5.87,2.94,2.93
2010-08-31,5.43,2.47,2.9599999999999995
2010-09-30,5.48,2.53,2.9500000000000006
2010-10-31,5.64,2.63,3.01
2010-11-30,6.04,2.81,3.23
2010-12-31,6.05,3.38,2.67
2011-01-31,6.32,3.42,2.9000000000000004
2011-02-28,6.22,3.59,2.63
2011-03-31,6.26,3.47,2.7899999999999996
2011-04-30,6.11,3.42,2.6900000000000004
2011-05-31,6.04,3.07,2.97
2011-06-30,5.75,3.18,2.57
2011-07-31,5.8,2.82,2.98
2011-08-31,5.55,2.23,3.32
2011-09-30,5.87,1.92,3.95
