Date,ten_yr_romania,ten_yr_us,RiskPremium
2002-05-31,26.0,5.08,20.92
2002-06-30,26.0,4.86,21.14
2002-07-31,25.5,4.51,20.990000000000002
2002-08-31,24.8,4.14,20.66
2002-09-30,23.9,3.63,20.27
2002-10-31,22.0,3.93,18.07
2002-11-30,15.7,4.22,11.48
2002-12-31,14.2,3.83,10.37
2003-01-31,14.2,4.0,10.2
2003-02-28,14.0,3.71,10.29
2003-03-31,13.9,3.83,10.07
2003-04-30,14.1,3.89,10.209999999999999
2003-05-31,14.7,3.37,11.329999999999998
2003-06-30,14.4,3.54,10.86
2003-07-31,14.5,4.49,10.01
2003-08-31,13.9,4.45,9.45
2003-09-30,13.9,3.96,9.940000000000001
2003-10-31,13.9,4.33,9.57
2003-11-30,13.9,4.34,9.56
2003-12-31,13.9,4.27,9.63
2004-01-31,13.9,4.16,9.74
2004-02-29,13.9,3.99,9.91
2004-03-31,13.9,3.86,10.040000000000001
2004-04-30,13.9,4.53,9.370000000000001
2004-05-31,13.9,4.66,9.24
2004-06-30,13.9,4.62,9.280000000000001
2004-07-31,13.99,4.5,9.49
2004-08-31,13.54,4.13,9.41
2004-09-30,13.14,4.14,9.0
2004-10-31,12.75,4.05,8.7
2004-11-30,11.8,4.36,7.44
2004-12-31,11.49,4.24,7.25
2005-01-31,11.49,4.14,7.3500000000000005
2005-02-28,8.27,4.36,3.9099999999999993
2005-03-31,6.92,4.5,2.42
2005-04-30,6.75,4.21,2.54
2005-05-31,6.75,4.0,2.75
2005-06-30,7.07,3.94,3.1300000000000003
2005-07-31,7.13,4.28,2.8499999999999996
2005-08-31,7.13,4.02,3.1100000000000003
2005-09-30,7.13,4.34,2.79
2005-10-31,6.84,4.57,2.2699999999999996
2005-11-30,6.98,4.49,2.49
2005-12-31,7.15,4.39,2.7600000000000007
2006-01-31,7.07,4.53,2.54
2006-02-28,6.97,4.55,2.42
2006-03-31,7.07,4.86,2.21
2006-04-30,6.94,5.07,1.87
2006-05-31,7.04,5.12,1.92
2006-06-30,7.12,5.15,1.9699999999999998
2006-07-31,7.11,4.99,2.12
2006-08-31,7.41,4.74,2.67
2006-09-30,7.49,4.64,2.8500000000000005
2006-10-31,7.56,4.61,2.9499999999999993
2006-11-30,7.56,4.46,3.0999999999999996
2006-12-31,7.42,4.71,2.71
2007-01-31,7.39,4.83,2.5599999999999996
2007-02-28,7.52,4.56,2.96
2007-03-31,7.53,4.65,2.88
2007-04-30,7.39,4.63,2.76
2007-05-31,7.39,4.9,2.4899999999999993
2007-06-30,7.04,5.03,2.01
2007-07-31,6.83,4.78,2.05
2007-08-31,6.87,4.54,2.33
2007-09-30,6.84,4.59,2.25
2007-10-31,6.85,4.48,2.369999999999999
2007-11-30,6.96,3.97,2.9899999999999998
2007-12-31,7.05,4.04,3.01
2008-01-31,7.9,3.67,4.23
2008-02-29,8.0,3.53,4.470000000000001
2008-03-31,8.15,3.45,4.7
2008-04-30,8.004,3.77,4.234
2008-05-31,7.9,4.06,3.8400000000000007
2008-06-30,7.8,3.99,3.8099999999999996
2008-07-31,8.0,3.99,4.01
2008-08-31,7.9,3.83,4.07
2008-09-30,8.01,3.85,4.16
2008-10-31,7.5,4.01,3.49
2008-11-30,8.015,2.93,5.085000000000001
2008-12-31,9.501,2.25,7.2509999999999994
2009-01-31,9.25,2.87,6.38
2009-02-28,9.75,3.02,6.73
2009-03-31,9.0,2.71,6.29
2009-04-30,9.45,3.16,6.289999999999999
2009-05-31,9.25,3.47,5.779999999999999
2009-06-30,8.0,3.53,4.470000000000001
2009-07-31,8.5,3.52,4.98
2009-08-31,9.0,3.4,5.6
2009-09-30,9.0,3.31,5.6899999999999995
2009-10-31,8.25,3.41,4.84
2009-11-30,8.5,3.21,5.29
2009-12-31,8.501,3.85,4.651
2010-01-31,7.0,3.63,3.37
2010-02-28,6.4,3.61,2.7900000000000005
2010-03-31,6.001,3.84,2.1610000000000005
2010-04-30,6.201,3.69,2.5109999999999997
2010-05-31,6.0,3.31,2.69
2010-06-30,7.0,2.97,4.029999999999999
2010-07-31,6.95,2.94,4.01
2010-08-31,6.75,2.47,4.279999999999999
2010-09-30,6.95,2.53,4.42
2010-10-31,6.95,2.63,4.32
2010-11-30,7.0,2.81,4.1899999999999995
2010-12-31,6.996,3.38,3.6160000000000005
2011-01-31,7.0,3.42,3.58
2011-02-28,6.496,3.59,2.9060000000000006
2011-03-31,7.0,3.47,3.53
2011-04-30,7.002,3.42,3.582
2011-05-31,7.043,3.07,3.9730000000000003
2011-06-30,7.043,3.18,3.863
2011-07-31,7.36,2.82,4.540000000000001
2011-08-31,7.391,2.23,5.161
2011-09-30,7.297,1.92,5.377
2011-10-31,7.22,2.17,5.05
2011-11-30,7.191,2.08,5.111
2011-12-31,7.147,1.89,5.257000000000001
2012-01-31,6.947,1.83,5.117
2012-02-29,7.28,1.98,5.300000000000001
2012-03-31,6.75,2.23,4.52
2012-04-30,6.599,1.95,4.649
2012-05-31,6.85,1.59,5.26
2012-06-30,6.9,1.67,5.23
2012-07-31,6.6,1.51,5.09
2012-08-31,7.0,1.57,5.43
2012-09-30,6.65,1.65,5.0
2012-10-31,6.9,1.72,5.180000000000001
2012-11-30,6.901,1.62,5.281
2012-12-31,6.88,1.78,5.1
2013-01-31,5.8,2.02,3.78
2013-02-28,5.81,1.89,3.92
2013-03-31,5.85,1.87,3.9799999999999995
2013-04-30,5.28,1.7,3.58
2013-05-31,5.3,2.16,3.1399999999999997
2013-06-30,5.8,2.52,3.28
2013-07-31,5.3,2.6,2.6999999999999997
2013-08-31,5.26,2.78,2.48
2013-09-30,5.0,2.64,2.36
2013-10-31,5.11,2.57,2.5400000000000005
2013-11-30,5.36,2.75,2.6100000000000003
2013-12-31,5.45,3.04,2.41
2014-01-31,5.8,2.67,3.13
2014-02-28,5.38,2.66,2.7199999999999998
2014-03-31,5.24,2.73,2.5100000000000002
2014-04-30,5.15,2.67,2.4800000000000004
2014-05-31,4.851,2.48,2.371
2014-06-30,4.41,2.53,1.8800000000000003
2014-07-31,4.33,2.58,1.75
2014-08-31,4.3,2.35,1.9499999999999997
2014-09-30,4.41,2.52,1.8900000000000001
2014-10-31,3.92,2.35,1.5699999999999998
2014-11-30,3.74,2.18,1.56
2014-12-31,3.68,2.17,1.5100000000000002
2015-01-31,2.701,1.68,1.0210000000000001
2015-02-28,2.88,2.03,0.8500000000000001
2015-03-31,3.27,1.94,1.33
2015-04-30,3.46,2.05,1.4100000000000001
2015-05-31,3.55,2.12,1.4299999999999997
2015-06-30,4.0,2.35,1.65
2015-07-31,3.84,2.2,1.6399999999999997
2015-08-31,3.85,2.21,1.6400000000000001
2015-09-30,3.66,2.06,1.6
2015-10-31,3.5,2.16,1.3399999999999999
2015-11-30,3.59,2.21,1.38
2015-12-31,3.765,2.27,1.495
2016-01-31,3.565,1.94,1.625
2016-02-29,3.45,1.74,1.7100000000000002
2016-03-31,3.338,1.78,1.558
2016-04-30,3.74,1.83,1.9100000000000001
2016-05-31,3.69,1.84,1.8499999999999999
