,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
0,2023-10-12,14261.13,14208.891,2728.913120999956,240148.10387036242,490.04908312368303
1,2023-10-11,14204.86,14200.580000000002,18.318399999990035,274927.580382825,524.3353701428362
2,2023-10-10,14085.09,14189.709000000003,10945.135161000506,305310.52220443747,552.5491129342598
3,2023-10-09,13896.56,14175.502499999999,77808.91830624956,325167.3040135876,570.2344289970464
4,2023-10-06,14023.21,14163.745499999999,19750.22676024999,335713.840549525,579.408181293227
5,2023-10-05,14040.13,14136.395499999999,9267.046490249908,342144.8189787125,584.9314651980286
6,2023-10-04,14128.4,14095.1,1108.8899999999514,342704.0954120125,585.4093400450769
7,2023-10-03,14359.46,14056.3855,91854.15255024927,346775.8877938125,588.8768018811851
8,2023-10-02,14368.36,14002.6865,133717.10860225058,344847.05070435,587.2367927032076
9,2023-09-29,14337.52,13947.079000000002,152444.17448099915,340348.03631535,583.3935518287376
10,2023-09-27,14109.9,13893.082999999999,47009.611489000396,334860.7494161,578.671538453465
11,2023-09-26,14244.72,13847.642500000002,157670.5410062481,333551.54486216244,577.539214999434
12,2023-09-22,14413.59,13790.646499999999,388058.6041922515,325777.15573185007,570.7689162277936
13,2023-09-21,14378.45,13721.273000000001,431881.6093289996,306450.00860684994,553.5792703911969
14,2023-09-20,14466.1,13657.203,654314.3566090014,284879.79489559995,533.7413183327668
15,2023-09-19,14322.77,13584.533,544993.8681690014,252367.8671133499,502.36228671482684
16,2023-09-18,14178.66,13514.897500000001,440580.65640624857,226320.11355391232,475.7311357835561
17,2023-09-15,14133.31,13450.548999999999,466162.58312100056,206348.10146164993,454.2555464291547
18,2023-09-14,14136.06,13379.701000000001,572078.9368809978,190845.11354071234,436.85823048297067
19,2023-09-13,14089.54,13314.576500000001,600568.4263322498,166938.5550507125,408.5811486727116
20,2023-09-12,14094.91,13259.2555,698318.4433702509,138463.27517221248,372.1065373951558
21,2023-09-11,13987.44,13207.9035,607677.1548322502,104049.23978031243,322.56664393627625
22,2023-09-08,13800.96,13162.147999999997,408080.7713440022,74129.96256114994,272.26818132339656
23,2023-09-07,13661.42,13124.075,288739.6490249993,54553.79320896233,233.56753457825067
24,2023-09-06,13476.21,13091.022,148369.79534399867,41462.734392324855,203.624002495592
25,2023-09-05,13214.22,13071.2075,20452.575156249688,34399.994967637445,185.47235634357332
26,2023-09-04,13354.11,13066.804,82544.73763600028,33408.20134593746,182.77910533192096
27,2023-09-01,13285.48,13054.661,53277.41076099977,29291.155386749946,171.1465903450897
28,2023-08-31,13256.21,13047.0765,43736.82082224997,26677.99801151246,163.33400751684403
29,2023-08-30,13257.6,13050.964000000002,42698.43649599942,27760.99746959994,166.6163181372099
30,2023-08-29,13201.09,13056.7795,20825.520410249883,30766.511997,175.40385399699747
31,2023-08-28,13104.8,13058.08,2182.758399999939,32025.57687968755,178.95691347273385
32,2023-08-25,13026.12,13065.0515,1515.6616922499047,35450.848272500036,188.28395649258073
33,2023-08-24,13097.05,13075.202000000001,477.3351039999186,39545.828162337515,198.86132897659493
34,2023-08-23,13012.7,13076.542000000001,4075.8009640000705,41867.24125358755,204.61486078383345
35,2023-08-22,12930.06,13085.1045,24038.79698024999,46741.39392983757,216.19758076777262
36,2023-08-21,12891.69,13094.521,41140.414561000056,50277.28100333754,224.2259596998919
37,2023-08-18,12716.35,13111.448499999999,156102.82470224862,59632.39396310011,244.197448723569
38,2023-08-17,12833.57,13140.079000000002,93947.76708100112,69709.51588750005,264.02559703085615
39,2023-08-16,12983.12,13159.3665,31062.82876224975,82263.06696789998,286.81538830387046
40,2023-08-14,13067.87,13168.0585,10037.735532249677,97281.62274023748,311.9000204235926
41,2023-08-11,13072.33,13168.723000000002,9291.610449000356,111574.44163773747,334.02760610125847
42,2023-08-10,13039.5,13168.175500000001,16557.384300250305,126832.22569208739,356.1351228004441
43,2023-08-09,13000.36,13164.4285,26918.472692249805,138688.58028912492,372.40915709623056
44,2023-08-08,13079.92,13164.270500000002,7115.0068502503855,154295.12746052493,392.80418462705427
45,2023-08-07,13126.15,13150.983499999998,616.7027222499414,163914.94756246248,404.8641099955175
46,2023-08-04,13111.25,13125.526500000002,203.81845225005029,168086.03898815,409.9829740222757
47,2023-08-03,13133.79,13101.9425,1014.2632562501066,173651.72773085002,416.71540375998825
48,2023-08-02,13333.96,13078.232,65396.80998399957,180571.66445704998,424.9372476696412
49,2023-08-01,13373.91,13053.271999999999,102808.72704400054,193492.23539396256,439.87752317430653
50,2023-07-31,13227.1,13012.607999999998,46006.818064000865,193722.720229575,440.13943271374245
51,2023-07-28,13244.23,12978.3575,70688.18625624973,196837.34136798742,443.66354523218087
