,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
0,2023-10-09,55055.6,56262.842000000004,1457433.2465640137,928498.3361651262,963.5861851257137
1,2023-10-06,55087.04,56370.40800000001,1647033.4234240244,890498.1950933756,943.6621191365984
2,2023-10-05,55488.58,56458.85650000001,941436.486452264,823168.273236187,907.2862135159924
3,2023-10-04,55961.13,56513.976500000004,305639.25256225764,781221.8743500863,883.8675660697627
4,2023-10-03,55959.41,56510.14700000001,303311.2431690091,771994.2939495861,878.6320583438702
5,2023-10-02,55649.46,56498.324,720570.0904960023,768210.667952386,876.4762791726802
6,2023-09-29,55838.55,56499.026,436228.54657599353,744894.1294806983,863.072493757447
7,2023-09-28,55379.72,56482.347499999996,1215787.403756239,741329.2708079108,861.0048030109418
8,2023-09-27,55977.01,56502.1125,275732.6355062509,683904.5650546115,826.9852266241589
9,2023-09-26,55571.74,56514.86899999999,889492.3106409878,674222.0457792991,821.1102519024465
10,2023-09-25,55356.93,56589.7815,1519922.8210522428,708003.6728197613,841.4295412093405
11,2023-09-22,55376.1,56661.2875,1651706.91015625,695903.109279962,834.2080731328138
12,2023-09-21,55589.52,56738.10399999999,1319245.205055989,715046.4721833987,845.6042053959989
13,2023-09-20,57379.38,56820.044499999996,312856.2015602512,833579.8377461116,913.0059352195426
14,2023-09-19,57699.78,56797.406500000005,814277.9335022396,983351.3405696116,991.6407316007202
15,2023-09-18,57669.19,56766.476500000004,814891.6630822464,1172087.8432349511,1082.6300583463176
16,2023-09-15,58020.37,56715.84700000001,1701780.2575289838,1308767.644583288,1144.0138305909104
17,2023-09-14,57689.26,56626.439,1129588.4780410076,1354036.6728853513,1163.6308146853758
18,2023-09-13,57191.42,56565.48049999999,391800.2576602596,1496349.5775961133,1223.2536848896525
19,2023-09-12,57316.65,56467.39599999999,721232.3565160137,1518923.4010431503,1232.4461047214804
20,2023-09-11,57206.92,56371.797,697430.4251289993,1557476.8668975492,1247.9891293186608
21,2023-09-08,56856.01,56307.8905,300434.98628025077,1702416.1148491506,1304.766689814371
22,2023-09-07,56590.98,56270.8105,102508.50873025232,1947283.130473589,1395.450869960526
23,2023-09-06,55884.54,56232.516500000005,121087.644552253,2184937.351971128,1478.1533587456777
24,2023-09-05,55722.95,56200.065,227638.723225005,2345761.6069688285,1531.5879364139782
25,2023-09-04,55663.5,56167.7215,254239.32106224966,2507440.683290592,1583.4900325832784
