,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
0,2023-10-09,67101.33,67213.51749999999,12586.035156246735,820984.9045350617,906.0821731692229
1,2023-10-06,66454.57,67262.5565,652842.1841822485,1009117.761327362,1004.5485360734751
2,2023-10-05,66570.19,67354.142,614580.7383040074,1238911.1912703628,1113.0638756470191
3,2023-10-04,66482.28,67442.3665,921766.0874822594,1532122.7400152113,1237.7894570625535
4,2023-10-03,66770.97,67532.2095,579485.576360244,1834794.992086411,1354.5460464991254
5,2023-09-29,66382.14,67570.02050000001,1411060.0822802829,2013132.2421019096,1418.8489144732464
6,2023-09-28,66448.63,67578.363,1276296.6512889839,2011549.9887491476,1418.2912214172193
7,2023-09-26,66652.17,67577.908,856990.8446439955,2011503.5087028113,1418.2748353908037
8,2023-09-25,66882.64,67569.81649999999,472211.5421522319,2051696.5058506113,1432.3744293482102
9,2023-09-22,67324.59,67533.2535,43540.45623225403,2084763.8491414494,1443.8711331491636
10,2023-09-21,68271.14,67444.96949999999,682557.6950702623,2098430.209734837,1448.5959442628705
11,2023-09-20,68335.72,67301.5035,1069603.7688722396,2073588.047727124,1439.995849899271
12,2023-09-19,68359.22,67159.3635,1439655.6205922365,2033523.6189871249,1426.0166966018053
13,2023-09-18,67877.17,67015.836,741896.2595560044,1974243.1248010253,1405.0776223401415
14,2023-09-15,67395.74,66882.098,263828.1041640073,1939004.051478425,1392.4812571372102
15,2023-09-14,67347.73,66749.50899999999,357868.364841006,1929433.1580388374,1389.0403730773405
16,2023-09-13,67414.4,66615.3115,638542.4308322468,1918100.7393492372,1384.9551398327808
17,2023-09-12,66760.2,66475.8555,80851.79468024544,1892801.6942126243,1375.791297476701
18,2023-09-11,67296.18,66384.2945,831535.1651102307,1888773.5332364247,1374.3265744488915
19,2023-09-08,68143.34,66280.01,3471998.6889000065,1852401.4582739256,1361.0295581925932
20,2023-09-07,68082.11,66139.1115,3775243.1710022558,1693974.5493917384,1301.5277751134388
21,2023-09-06,68286.28,65995.2735,5248710.783042264,1521379.6505711377,1233.4421958775115
22,2023-09-05,68334.68,65789.329,6478811.713200975,1264947.3971702743,1124.6988028669161
23,2023-09-04,68279.14,65638.0775,6975211.12890625,973149.2095744249,986.4832535701885
24,2023-09-01,67527.19,65490.96050000001,4146230.5766702257,657270.3238749132,810.7221002753737
25,2023-08-31,66548.99,65374.50499999999,1379415.0152250356,475084.4440935146,689.2636970663076
