Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGHUN10D,Hungary 10-year Government Bond Yield,Government Bond Yields,Hungary Forint,Hungary,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1999 To Dec 2000<BR>Daily From Jan 2001 To Sep 2023<BR>,"Source: Magyar Nemzeti Bank The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced. Source: Eurostat. Eurostat collects data from the statistical agencies of the 27 member countries of the European Economic Community, candidate countries (Macedonia, Croatia and Turkey), EFTA countries (Iceland, Norway, Liechtenstein and Switzerland) as well as other countries (Japan, Australia, United States). Statistical agencies within each country disseminate their national data to Eurostat in order that it can be made available in a consistent format. ",
Date,Ticker,High,Close,Annual_Percent_Change
01/31/1999,IGHUN10D,9.09,9.09,
02/28/1999,IGHUN10D,9.51,9.51,
03/31/1999,IGHUN10D,9.79,9.79,
04/30/1999,IGHUN10D,9.63,9.63,
05/31/1999,IGHUN10D,9.82,9.82,
06/30/1999,IGHUN10D,10.14,10.14,
07/31/1999,IGHUN10D,10.16,10.16,
08/31/1999,IGHUN10D,10.53,10.53,
09/30/1999,IGHUN10D,10.84,10.84,
10/31/1999,IGHUN10D,10.25,10.25,
11/30/1999,IGHUN10D,9.55,9.55,
12/31/1999,IGHUN10D,8.86,8.86,
01/31/2000,IGHUN10D,8.85,8.85,-2.64026402640264
02/29/2000,IGHUN10D,8.25,8.25,-13.2492113564669
03/31/2000,IGHUN10D,8.25,8.25,-15.7303370786517
04/30/2000,IGHUN10D,8.34,8.34,-13.3956386292835
05/31/2000,IGHUN10D,8.9,8.9,-9.36863543788187
06/30/2000,IGHUN10D,8.37,8.37,-17.4556213017752
07/31/2000,IGHUN10D,8.12,8.12,-20.0787401574803
08/31/2000,IGHUN10D,7.98,7.98,-24.2165242165242
09/30/2000,IGHUN10D,8.45,8.45,-22.0479704797048
10/31/2000,IGHUN10D,9.15,9.15,-10.7317073170732
11/30/2000,IGHUN10D,8.99,8.99,-5.86387434554974
12/31/2000,IGHUN10D,8,8,-9.70654627539503
01/31/2001,IGHUN10D,8.32,8.24,-6.89265536723163
02/28/2001,IGHUN10D,8.51,8.41,-4.97175141242937
03/31/2001,IGHUN10D,8.73,8.66,4.96969696969697
04/30/2001,IGHUN10D,8.72,8.59,2.99760191846523
05/31/2001,IGHUN10D,8.64,7.98,-10.3370786516854
06/30/2001,IGHUN10D,7.93,7.76,-7.2879330943847
07/31/2001,IGHUN10D,8.03,7.7,-5.17241379310344
08/31/2001,IGHUN10D,7.87,7.79,-2.38095238095239
09/30/2001,IGHUN10D,8.16,8.01,-5.20710059171597
10/31/2001,IGHUN10D,8.22,7.87,-13.9890710382514
11/30/2001,IGHUN10D,7.87,7.31,-18.6874304783092
12/31/2001,IGHUN10D,7.22,7.1,-11.25
01/31/2002,IGHUN10D,7.1,6.78,-17.7184466019417
02/28/2002,IGHUN10D,7.03,6.98,-17.0035671819263
03/31/2002,IGHUN10D,7.11,6.78,-21.7090069284065
04/30/2002,IGHUN10D,6.9,6.84,-20.372526193248
05/31/2002,IGHUN10D,7.52,7.27,-8.89724310776943
06/30/2002,IGHUN10D,7.9,7.72,-0.515463917525774
07/31/2002,IGHUN10D,8.07,7.62,-1.03896103896104
08/31/2002,IGHUN10D,7.62,7.45,-4.36456996148909
09/30/2002,IGHUN10D,7.49,7.18,-10.3620474406991
10/31/2002,IGHUN10D,7.45,6.98,-11.3087674714104
11/30/2002,IGHUN10D,7.1,6.63,-9.30232558139535
12/31/2002,IGHUN10D,6.73,6.46,-9.01408450704225
01/31/2003,IGHUN10D,6.52,6.2,-8.55457227138643
02/28/2003,IGHUN10D,6.41,6.28,-10.0286532951289
03/31/2003,IGHUN10D,6.54,6.42,-5.30973451327434
