Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGHUN5D,Hungary 5-year Government Note Yield,Government Bond Yields,Hungary Forint,Hungary,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Feb 1997 To Sep 2001<BR>Daily From Sep 2001 To Sep 2023<BR>,"Source: Magyar Nemzeti Bank The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced.",
Date,Ticker,Close,Annual_Percent_Change
02/28/1997,IGHUN5D,15.81,
03/31/1997,IGHUN5D,16.09,
04/30/1997,IGHUN5D,16.07,
05/31/1997,IGHUN5D,16,
06/30/1997,IGHUN5D,15.5,
07/31/1997,IGHUN5D,15.82,
08/31/1997,IGHUN5D,16.01,
09/30/1997,IGHUN5D,16.54,
10/31/1997,IGHUN5D,16.92,
11/30/1997,IGHUN5D,17.19,
12/31/1997,IGHUN5D,17.29,
01/31/1998,IGHUN5D,17.55,
02/28/1998,IGHUN5D,18.03,14.0417457305503
03/31/1998,IGHUN5D,16.41,1.98881292728403
04/30/1998,IGHUN5D,15.59,-2.9869321717486
05/31/1998,IGHUN5D,15.9,-0.624999999999998
06/30/1998,IGHUN5D,15.37,-0.83870967741936
07/31/1998,IGHUN5D,14.35,-9.29203539823009
08/31/1998,IGHUN5D,15.45,-3.49781386633356
09/30/1998,IGHUN5D,16.95,2.47883917775091
10/31/1998,IGHUN5D,15.45,-8.68794326241136
11/30/1998,IGHUN5D,14.83,-13.7289121582315
12/31/1998,IGHUN5D,12.88,-25.5060728744939
01/31/1999,IGHUN5D,10.94,-37.6638176638177
02/28/1999,IGHUN5D,11.74,-34.8863006100943
03/31/1999,IGHUN5D,12.27,-25.2285191956124
04/30/1999,IGHUN5D,11.37,-27.0686337395767
05/31/1999,IGHUN5D,11.77,-25.9748427672956
06/30/1999,IGHUN5D,12.49,-18.7378009108653
07/31/1999,IGHUN5D,12.33,-14.0766550522648
08/31/1999,IGHUN5D,12.63,-18.252427184466
09/30/1999,IGHUN5D,12.77,-24.6607669616519
10/31/1999,IGHUN5D,12.12,-21.5533980582524
11/30/1999,IGHUN5D,10.89,-26.5677680377613
12/31/1999,IGHUN5D,9.82,-23.7577639751553
01/31/2000,IGHUN5D,9.6,-12.2486288848263
02/29/2000,IGHUN5D,8.26,-29.6422487223169
03/31/2000,IGHUN5D,8.33,-32.1108394458028
04/30/2000,IGHUN5D,8.71,-23.3948988566403
05/31/2000,IGHUN5D,9.32,-20.8156329651657
06/30/2000,IGHUN5D,8.75,-29.9439551641313
07/31/2000,IGHUN5D,8.25,-33.0900243309002
08/31/2000,IGHUN5D,8.6,-31.9081551860649
09/30/2000,IGHUN5D,9.5,-25.6068911511355
10/31/2000,IGHUN5D,10.29,-15.0990099009901
11/30/2000,IGHUN5D,10.36,-4.86685032139579
12/31/2000,IGHUN5D,8.8,-10.3869653767821
01/31/2001,IGHUN5D,9.03,-5.9375
02/28/2001,IGHUN5D,8.99,-6.35416666666666
03/31/2001,IGHUN5D,9.62,15.4861944777911
04/30/2001,IGHUN5D,9.32,7.00344431687715
05/31/2001,IGHUN5D,8.53,-8.47639484978542
06/30/2001,IGHUN5D,8.2,-6.28571428571429
07/31/2001,IGHUN5D,8.23,-0.242424242424237
08/31/2001,IGHUN5D,8.33,-3.13953488372093
