"Date","ten_yr","five_yr","TermPremium"
1999-01-31,9.09,10.94,-1.85
1999-02-28,9.51,11.74,-2.23
1999-03-31,9.79,12.27,-2.48
1999-04-30,9.63,11.37,-1.74
1999-05-31,9.82,11.77,-1.95
1999-06-30,10.14,12.49,-2.35
1999-07-31,10.16,12.33,-2.17
1999-08-31,10.53,12.63,-2.1
1999-09-30,10.84,12.77,-1.93
1999-10-31,10.25,12.12,-1.87
1999-11-30,9.55,10.89,-1.34
1999-12-31,8.86,9.82,-0.96
2000-01-31,8.85,9.6,-0.75
2000-02-29,8.25,8.26,-0.01
2000-03-31,8.25,8.33,-0.08
2000-04-30,8.34,8.71,-0.37
2000-05-31,8.9,9.32,-0.42
2000-06-30,8.37,8.75,-0.38
2000-07-31,8.12,8.25,-0.13
2000-08-31,7.98,8.6,-0.62
2000-09-30,8.45,9.5,-1.05
2000-10-31,9.15,10.29,-1.14
2000-11-30,8.99,10.36,-1.37
2000-12-31,8,8.8,-0.8
2001-01-31,8.24,9.03,-0.79
2001-02-28,8.41,8.99,-0.58
2001-03-31,8.66,9.62,-0.96
2001-04-30,8.59,9.32,-0.73
2001-05-31,7.98,8.53,-0.55
2001-06-30,7.76,8.2,-0.44
2001-07-31,7.7,8.23,-0.53
2001-08-31,7.79,8.33,-0.54
2001-09-30,8.01,8.52,-0.51
2001-10-31,7.87,8.54,-0.67
2001-11-30,7.31,7.95,-0.64
2001-12-31,7.1,7.19,-0.09
2002-01-31,6.78,7.26,-0.48
2002-02-28,6.98,7.4,-0.42
2002-03-31,6.78,7.39,-0.61
2002-04-30,6.84,7.51,-0.67
2002-05-31,7.27,8.18,-0.91
2002-06-30,7.72,8.53,-0.81
2002-07-31,7.62,8.44,-0.82
2002-08-31,7.45,8.59,-1.14
2002-09-30,7.18,8.2,-1.02
2002-10-31,6.98,8.11,-1.13
2002-11-30,6.63,7.37,-0.74
2002-12-31,6.46,7.05,-0.59
2003-01-31,6.2,6.57,-0.37
2003-02-28,6.28,6.61,-0.33
2003-03-31,6.42,6.78,-0.36
2003-04-30,6.19,6.32,-0.13
2003-05-31,5.98,6.21,-0.23
2003-06-30,6.71,7.61,-0.9
2003-07-31,7.18,8,-0.82
2003-08-31,7.13,7.99,-0.86
2003-09-30,6.93,7.68,-0.75
2003-10-31,7.89,9.17,-1.28
2003-11-30,8.94,10.46,-1.52
2003-12-31,7.95,9.33,-1.38
2004-01-31,8.49,9.87,-1.38
2004-02-29,8.45,9.57,-1.12
2004-03-31,7.71,8.82,-1.11
2004-04-30,8.03,9.02,-0.99
2004-05-31,8.33,9.41,-1.08
2004-06-30,8.58,9.88,-1.3
2004-07-31,8.36,9.46,-1.1
2004-08-31,8.65,9.83,-1.18
2004-09-30,8.44,9.49,-1.05
2004-10-31,7.96,9.07,-1.11
2004-11-30,7.54,8.56,-1.02
2004-12-31,7.05,8,-0.95
2005-01-31,7.23,8.12,-0.89
2005-02-28,6.62,7.03,-0.41
2005-03-31,6.95,7.29,-0.34
2005-04-30,7.06,7.57,-0.51
2005-05-31,7,7.38,-0.38
2005-06-30,6.25,6.5,-0.25
2005-07-31,6.02,6.27,-0.25
2005-08-31,5.52,5.69,-0.17
2005-09-30,6.18,6.32,-0.14
2005-10-31,6.73,6.88,-0.15
2005-11-30,6.71,6.88,-0.17
2005-12-31,6.97,7.08,-0.11
2006-01-31,6.95,7.06,-0.11
2006-02-28,6.8,6.94,-0.14
2006-03-31,7.11,7.31,-0.2
2006-04-30,6.84,6.99,-0.15
2006-05-31,6.81,6.99,-0.18
2006-06-30,7.94,8.54,-0.6
2006-07-31,7.24,7.86,-0.62
2006-08-31,7.6,8.14,-0.54
2006-09-30,7.6,8.21,-0.61
2006-10-31,7.22,7.75,-0.53
2006-11-30,6.9,7.44,-0.54
2006-12-31,6.71,7.35,-0.64
2007-01-31,7.05,7.55,-0.5
2007-02-28,7,7.46,-0.46
2007-03-31,6.68,7.07,-0.39
2007-04-30,6.55,6.8,-0.25
2007-05-31,6.54,6.81,-0.27
2007-06-30,6.63,6.75,-0.12
2007-07-31,6.7,6.79,-0.09
2007-08-31,6.75,6.99,-0.24
2007-09-30,6.62,6.74,-0.12
2007-10-31,6.56,6.74,-0.18
2007-11-30,6.83,7.15,-0.32
2007-12-31,7.08,7.19,-0.11
2008-01-31,7.2,7.33,-0.13
2008-02-29,8.18,8.66,-0.48
2008-03-31,8.56,9.6,-1.04
2008-04-30,8.1,8.82,-0.72
2008-05-31,8.1,8.87,-0.77
2008-06-30,8.5,9.25,-0.75
2008-07-31,7.81,8.41,-0.6
2008-08-31,7.93,8.52,-0.59
2008-09-30,8.17,9.27,-1.1
2008-10-31,9.79,12.02,-2.23
2008-11-30,8.86,10.94,-2.08
2008-12-31,8.28,9.44,-1.16
2009-01-31,9.66,10.49,-0.83
2009-02-28,10.85,11.97,-1.12
2009-03-31,12.25,12.98,-0.73
2009-04-30,10.26,10.45,-0.19
2009-05-31,9.97,10.05,-0.08
2009-06-30,9.74,9.76,-0.02
2009-07-31,8.53,8.53,0
2009-08-31,8.14,8.15,-0.01
2009-09-30,7.63,7.41,0.22
2009-10-31,7.38,7.23,0.15
2009-11-30,7.46,7.14,0.32
2009-12-31,7.99,7.55,0.44
2010-01-31,7.66,7.56,0.1
2010-02-28,7.51,7.26,0.25
2010-03-31,6.86,6.37,0.49
2010-04-30,6.62,6.19,0.43
2010-05-31,7.23,6.88,0.35
2010-06-30,7.69,7.58,0.11
2010-07-31,7.24,7.31,-0.07
2010-08-31,7.62,7.6,0.02
2010-09-30,6.79,6.68,0.11
2010-10-31,7.03,6.96,0.07
2010-11-30,8.44,8.49,-0.05
2010-12-31,7.95,7.99,-0.04
2011-01-31,7.32,7.11,0.21
2011-02-28,7.25,6.98,0.27
2011-03-31,7.19,6.94,0.25
2011-04-30,7,6.9,0.1
2011-05-31,7.19,6.98,0.21
2011-06-30,7.31,7.08,0.23
2011-07-31,7.5,7.37,0.13
2011-08-31,7.35,7.04,0.31
2011-09-30,8.14,7.57,0.57
2011-10-31,7.79,7.4,0.39
2011-11-30,8.92,8.87,0.05
2011-12-31,9.75,9.79,-0.04
2012-01-31,8.89,8.83,0.06
2012-02-29,8.57,8.57,0
2012-03-31,9.06,9.08,-0.02
2012-04-30,7.98,7.95,0.03
2012-05-31,8.71,8.8,-0.09
2012-06-30,7.9,7.92,-0.02
2012-07-31,7.37,7.41,-0.04
2012-08-31,7.25,7.06,0.19
2012-09-30,7.24,6.84,0.4
2012-10-31,6.88,6.47,0.41
2012-11-30,6.82,6.43,0.39
2012-12-31,6.23,6.01,0.22
2013-01-31,6.34,6.01,0.33
2013-02-28,6.25,5.78,0.47
2013-03-31,6.39,5.73,0.66
2013-04-30,5.32,5.05,0.27
2013-05-31,5.64,5.22,0.42
2013-06-30,6.12,5.74,0.38
2013-07-31,6.41,5.52,0.89
2013-08-31,6.58,5.89,0.69
2013-09-30,5.83,5.18,0.65
2013-10-31,5.45,4.67,0.78
2013-11-30,6.07,5.06,1.01
2013-12-31,5.71,4.76,0.95
2014-01-31,6.2,5.41,0.79
2014-02-28,6.01,5.18,0.83
2014-03-31,5.54,4.94,0.6
2014-04-30,5.35,4.48,0.87
2014-05-31,4.71,3.76,0.95
2014-06-30,4.39,3.43,0.96
2014-07-31,4.73,3.78,0.95
2014-08-31,4.45,3.62,0.83
2014-09-30,4.63,3.73,0.9
2014-10-31,3.9,3.39,0.51
2014-11-30,3.52,3.07,0.45
2014-12-31,3.69,3.25,0.44
2015-01-31,2.88,2.48,0.4
2015-02-28,3.01,2.57,0.44
2015-03-31,3.36,2.67,0.69
2015-04-30,3.45,2.83,0.62
2015-05-31,3.53,2.97,0.56
2015-06-30,4,3.12,0.88
2015-07-31,3.84,2.94,0.9
2015-08-31,3.77,2.77,1
2015-09-30,3.38,2.44,0.94
2015-10-31,3.45,2.54,0.91
2015-11-30,3.39,2.57,0.82
2015-12-31,3.42,2.65,0.77
2016-01-31,3.64,2.64,1
2016-02-29,3.37,2.42,0.95
2016-03-31,3,2.11,0.89
2016-04-30,3.42,2.35,1.07
2016-05-31,3.48,2.55,0.93
2016-06-30,3.23,2.33,0.9
2016-07-31,2.91,2.04,0.87
2016-08-31,2.93,2.01,0.92
2016-09-30,2.97,1.9,1.07
2016-10-31,3.08,1.9,1.18
2016-11-30,3.47,2.18,1.29
2016-12-31,3.26,1.77,1.49
2017-01-31,3.58,2.22,1.36
2017-02-28,3.5,2.27,1.23
2017-03-31,3.41,2.28,1.13
2017-04-30,3.36,2.19,1.17
2017-05-31,3.13,1.91,1.22
2017-06-30,3.16,1.88,1.28
2017-07-31,3.2,1.92,1.28
2017-08-31,3.05,1.77,1.28
2017-09-30,2.67,1.31,1.36
2017-10-31,2.52,1.28,1.24
2017-11-30,2.19,1.16,1.03
2017-12-31,2.09,1.17,0.92
2018-01-31,2.35,1.27,1.08
2018-02-28,2.65,1.51,1.14
2018-03-31,2.46,1.32,1.14
2018-04-30,2.59,1.34,1.25
2018-05-31,3.23,1.74,1.49
2018-06-30,3.67,2.36,1.31
2018-07-31,3.31,2.72,0.59
2018-08-31,3.53,2.92,0.61
2018-09-30,3.62,3.04,0.58
2018-10-31,3.73,3.13,0.6
2018-11-30,3.21,2.68,0.53
2018-12-31,3.32,2.64,0.68
2019-01-31,2.81,2.33,0.48
2019-02-28,2.77,2.28,0.49
2019-03-31,2.94,1.96,0.98
2019-04-30,3.35,2.27,1.08
2019-05-31,3.03,1.89,1.14
2019-06-30,2.7,1.68,1.02
2019-07-31,2.35,1.33,1.02
2019-08-31,1.97,1.07,0.9
2019-09-30,2.04,1.08,0.96
2019-10-31,1.96,0.98,0.98
2019-11-30,1.93,1.085,0.84
2019-12-31,2.015,1.175,0.84
2020-01-31,2.14,1.4,0.74
2020-02-29,2.25,1.66,0.59
2020-03-31,2.6,1.67,0.93
2020-04-30,1.95,1.45,0.5
2020-05-31,1.98,1.58,0.4
2020-06-30,2.22,1.36,0.86
2020-07-31,2.15,1.32,0.83
2020-08-31,2.37,1.67,0.7
2020-09-30,2.5,1.9,0.6
2020-10-31,2.33,1.78,0.55
2020-11-30,2.26,1.56,0.7
2020-12-31,2.15,1.43,0.72
2021-01-31,2.38,1.52,0.86
2021-02-28,2.73,2.01,0.72
2021-03-31,2.78,1.98,0.8
2021-04-30,2.82,1.8,1.02
2021-05-31,2.98,2.1,0.88
2021-06-30,2.9,2.15,0.75
2021-07-31,2.93,2.12,0.81
2021-08-31,3.01,2.46,0.55
2021-09-30,3.3,2.72,0.58
2021-10-31,4,3.34,0.66
2021-11-30,4.41,4.21,0.2
2021-12-31,4.58,4.42,0.16
2022-01-31,4.96,4.76,0.2
2022-02-28,5.32,5.29,0.03
2022-03-31,6.05,6.49,-0.44
2022-04-30,7.01,7.155,-0.15
2022-05-31,7.3,7.33,-0.03
2022-06-30,8.16,8.51,-0.35
2022-07-31,8.175,9.475,-1.3
2022-08-31,8.98,9.84,-0.86
2022-09-30,9.775,10.255,-0.48
2022-10-31,10.23,11.66,-1.43
2022-11-30,8.33,8.89,-0.56
2022-12-31,9.25,9.93,-0.68
2023-01-31,8.1,8.77,-0.67
2023-02-28,8.7,9.38,-0.68
2023-03-31,8.59,9.51,-0.92
2023-04-30,7.93,8.84,-0.91
2023-05-31,8.04,8.84,-0.8
2023-06-30,7.13,7.8,-0.67
2023-07-31,7.38,7.71,-0.33
2023-08-31,7.14,7.27,-0.13
2023-09-30,7.37,7.46,-0.09
