Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGPOL10D,Poland 10-year Government Bond Yield,Government Bond Yields,Poland New Zloty,Poland,,,,,,,Percent per Annum,Units,Stock,none,Monthly From May 1999 To Dec 2000<BR>Daily From Jan 2001 To Mar 2023<BR>,"Source: Narodowy Bank Polski The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced. Source: Eurostat. Eurostat collects data from the statistical agencies of the 27 member countries of the European Economic Community, candidate countries (Macedonia, Croatia and Turkey), EFTA countries (Iceland, Norway, Liechtenstein and Switzerland) as well as other countries (Japan, Australia, United States). Statistical agencies within each country disseminate their national data to Eurostat in order that it can be made available in a consistent format. ",
Date,Ticker,Close,Annual_Percent_Change
05/31/1999,IGPOL10D,8.61,
06/30/1999,IGPOL10D,8.77,
07/31/1999,IGPOL10D,9.12,
08/31/1999,IGPOL10D,9.22,
09/30/1999,IGPOL10D,9.53,
10/31/1999,IGPOL10D,10.77,
11/30/1999,IGPOL10D,10.71,
12/31/1999,IGPOL10D,10.714,
01/31/2000,IGPOL10D,10.06,
02/29/2000,IGPOL10D,10.59,
03/31/2000,IGPOL10D,10.5,
04/30/2000,IGPOL10D,10.71,
05/31/2000,IGPOL10D,11.95,38.7921022067364
06/30/2000,IGPOL10D,12.54,42.9874572405929
07/31/2000,IGPOL10D,12.46,36.6228070175439
08/31/2000,IGPOL10D,12.65,37.2017353579176
09/30/2000,IGPOL10D,12.36,29.6956977964323
10/31/2000,IGPOL10D,13.31,23.5840297121634
11/30/2000,IGPOL10D,12.81,19.6078431372549
12/31/2000,IGPOL10D,11.51,7.42953145417211
01/31/2001,IGPOL10D,10.39,3.28031809145129
02/28/2001,IGPOL10D,10.27,2.08747514910536
03/31/2001,IGPOL10D,10.63,1.23809523809525
04/30/2001,IGPOL10D,10.94,2.14752567693743
05/31/2001,IGPOL10D,11.48,-3.93305439330543
06/30/2001,IGPOL10D,11.57,-7.73524720893141
07/31/2001,IGPOL10D,11.56,-7.223113964687
08/31/2001,IGPOL10D,11.69,-7.58893280632412
09/30/2001,IGPOL10D,11.16,-9.70873786407766
10/31/2001,IGPOL10D,10.3,-22.6145755071375
11/30/2001,IGPOL10D,8.92,-30.3669008587041
12/31/2001,IGPOL10D,8.82,-23.3709817549957
01/31/2002,IGPOL10D,8.29,-20.2117420596728
02/28/2002,IGPOL10D,8.32,-18.9873417721519
03/31/2002,IGPOL10D,8.42,-20.7902163687676
04/30/2002,IGPOL10D,8.12,-25.7769652650823
05/31/2002,IGPOL10D,7.86,-31.5331010452962
06/30/2002,IGPOL10D,7.28,-37.0786516853933
07/31/2002,IGPOL10D,7.42,-35.8131487889273
08/31/2002,IGPOL10D,7.17,-38.6655260906758
09/30/2002,IGPOL10D,6.39,-42.741935483871
10/31/2002,IGPOL10D,6.02,-41.5533980582524
11/30/2002,IGPOL10D,6.02,-32.5112107623318
12/31/2002,IGPOL10D,5.56,-36.9614512471655
01/31/2003,IGPOL10D,5.72,-31.0012062726176
02/28/2003,IGPOL10D,5.53,-33.5336538461538
03/31/2003,IGPOL10D,5.45,-35.2731591448931
04/30/2003,IGPOL10D,5.28,-34.9753694581281
05/31/2003,IGPOL10D,5.02,-36.1323155216285
06/30/2003,IGPOL10D,5.1,-29.9450549450549
07/31/2003,IGPOL10D,5.67,-23.5849056603774
08/31/2003,IGPOL10D,5.63,-21.4783821478382
09/30/2003,IGPOL10D,6.07,-5.00782472613458
10/31/2003,IGPOL10D,7.14,18.6046511627907
11/30/2003,IGPOL10D,7.31,21.4285714285714
12/31/2003,IGPOL10D,6.49,16.726618705036
01/31/2004,IGPOL10D,6.86,19.9300699300699
02/29/2004,IGPOL10D,6.72,21.5189873417721
03/31/2004,IGPOL10D,6.66,22.2018348623853
04/30/2004,IGPOL10D,7.2,36.3636363636364
05/31/2004,IGPOL10D,7.35,46.4143426294821
06/30/2004,IGPOL10D,7.21,41.3725490196079
07/31/2004,IGPOL10D,7.48,31.9223985890653
08/31/2004,IGPOL10D,7.3,29.6625222024867
09/30/2004,IGPOL10D,6.74,11.0378912685338
10/31/2004,IGPOL10D,6.75,-5.46218487394958
11/30/2004,IGPOL10D,6.39,-12.5854993160055
12/31/2004,IGPOL10D,5.78,-10.939907550077
01/31/2005,IGPOL10D,5.95,-13.265306122449
02/28/2005,IGPOL10D,5.46,-20.4081632653061
03/31/2005,IGPOL10D,5.48,-17.7177177177177
04/30/2005,IGPOL10D,5.55,-22.9166666666667
05/31/2005,IGPOL10D,5.1,-30.6122448979592
06/30/2005,IGPOL10D,4.66,-35.3675450762829
07/31/2005,IGPOL10D,4.91,-34.3582887700535
08/31/2005,IGPOL10D,4.72,-35.3424657534247
09/30/2005,IGPOL10D,4.71,-30.1186943620178
10/31/2005,IGPOL10D,5.27,-21.9259259259259
11/30/2005,IGPOL10D,5.33,-16.5884194053208
12/31/2005,IGPOL10D,5.1,-11.764705882353
01/31/2006,IGPOL10D,5.04,-15.2941176470588
02/28/2006,IGPOL10D,4.59,-15.9340659340659
03/31/2006,IGPOL10D,4.97,-9.30656934306571
04/30/2006,IGPOL10D,5.17,-6.84684684684685
05/31/2006,IGPOL10D,5.33,4.50980392156864
06/30/2006,IGPOL10D,5.68,21.8884120171674
07/31/2006,IGPOL10D,5.58,13.6456211812627
08/31/2006,IGPOL10D,5.59,18.4322033898305
09/30/2006,IGPOL10D,5.5,16.7728237791932
10/31/2006,IGPOL10D,5.23,-0.759013282732432
11/30/2006,IGPOL10D,5.15,-3.37711069418386
12/31/2006,IGPOL10D,5.21,2.15686274509805
01/31/2007,IGPOL10D,5.15,2.18253968253969
02/28/2007,IGPOL10D,5.22,13.7254901960784
03/31/2007,IGPOL10D,5.19,4.42655935613683
04/30/2007,IGPOL10D,5.31,2.70793036750483
05/31/2007,IGPOL10D,5.31,-0.375234521575994
06/30/2007,IGPOL10D,5.62,-1.05633802816901
07/31/2007,IGPOL10D,5.59,0.179211469534046
08/31/2007,IGPOL10D,5.77,3.22003577817531
09/30/2007,IGPOL10D,5.68,3.27272727272727
10/31/2007,IGPOL10D,5.5,5.16252390057361
11/30/2007,IGPOL10D,5.78,12.2330097087379
12/31/2007,IGPOL10D,5.92,13.6276391554703
01/31/2008,IGPOL10D,5.66,9.90291262135922
02/29/2008,IGPOL10D,5.95,13.9846743295019
03/31/2008,IGPOL10D,5.96,14.8362235067437
04/30/2008,IGPOL10D,5.97,12.4293785310735
05/31/2008,IGPOL10D,6.27,18.0790960451977
06/30/2008,IGPOL10D,6.61,17.6156583629893
07/31/2008,IGPOL10D,6.24,11.6279069767442
08/31/2008,IGPOL10D,6.05,4.85268630849221
09/30/2008,IGPOL10D,5.84,2.81690140845071
10/31/2008,IGPOL10D,6.6,20
11/30/2008,IGPOL10D,5.86,1.3840830449827
12/31/2008,IGPOL10D,5.47,-7.60135135135135
01/31/2009,IGPOL10D,5.71,0.883392226148407
02/28/2009,IGPOL10D,6.18,9.18727915194346
03/31/2009,IGPOL10D,6.27,5.20134228187919
04/30/2009,IGPOL10D,6.18,3.51758793969849
05/31/2009,IGPOL10D,6.3,0.478468899521535
06/30/2009,IGPOL10D,6.29,-4.84114977307111
07/31/2009,IGPOL10D,6.08,-2.56410256410257
08/31/2009,IGPOL10D,6.08,0.495867768595045
09/30/2009,IGPOL10D,6.19,5.99315068493152
10/31/2009,IGPOL10D,6.12,-7.27272727272727
11/30/2009,IGPOL10D,6.16,5.11945392491467
12/31/2009,IGPOL10D,6.23,13.8939670932358
01/31/2010,IGPOL10D,6.09,6.65499124343257
02/28/2010,IGPOL10D,5.99,-3.07443365695792
03/31/2010,IGPOL10D,5.52,-11.9617224880383
04/30/2010,IGPOL10D,5.58,-9.70873786407766
05/31/2010,IGPOL10D,5.75,-8.73015873015873
06/30/2010,IGPOL10D,5.93,-5.72337042925279
07/31/2010,IGPOL10D,5.87,-3.45394736842105
08/31/2010,IGPOL10D,5.43,-10.6907894736842
09/30/2010,IGPOL10D,5.48,-11.470113085622
10/31/2010,IGPOL10D,5.64,-7.84313725490197
11/30/2010,IGPOL10D,6.04,-1.94805194805195
12/31/2010,IGPOL10D,6.05,-2.88924558587481
01/31/2011,IGPOL10D,6.32,3.77668308702792
02/28/2011,IGPOL10D,6.22,3.8397328881469
03/31/2011,IGPOL10D,6.26,13.4057971014493
04/30/2011,IGPOL10D,6.11,9.49820788530466
05/31/2011,IGPOL10D,6.04,5.04347826086957
06/30/2011,IGPOL10D,5.75,-3.03541315345699
07/31/2011,IGPOL10D,5.8,-1.19250425894379
08/31/2011,IGPOL10D,5.55,2.20994475138122
09/30/2011,IGPOL10D,5.87,7.11678832116788
10/31/2011,IGPOL10D,5.67,0.531914893617026
11/30/2011,IGPOL10D,5.9,-2.31788079470198
12/31/2011,IGPOL10D,5.83,-3.63636363636363
01/31/2012,IGPOL10D,5.49,-13.1329113924051
02/29/2012,IGPOL10D,5.37,-13.6655948553055
03/31/2012,IGPOL10D,5.41,-13.5782747603834
04/30/2012,IGPOL10D,5.39,-11.7839607201309
05/31/2012,IGPOL10D,5.44,-9.93377483443708
06/30/2012,IGPOL10D,5.14,-10.6086956521739
07/31/2012,IGPOL10D,4.85,-16.3793103448276
08/31/2012,IGPOL10D,4.85,-12.6126126126126
09/30/2012,IGPOL10D,4.68,-20.2725724020443
10/31/2012,IGPOL10D,4.5,-20.6349206349206
11/30/2012,IGPOL10D,4.01,-32.0338983050848
12/31/2012,IGPOL10D,3.71,-36.3636363636364
01/31/2013,IGPOL10D,3.92,-28.5974499089253
