Date,ten_yr,five_yr,TermPremium
2010-08-31,13.05,12.18,0.870000000000001
2010-09-30,13.0,12.39,0.6099999999999994
2010-10-31,13.0,12.65,0.34999999999999964
2010-11-30,12.95,12.39,0.5599999999999987
2011-12-31,13.0,16.2,-3.1999999999999993
2011-12-31,17.0,16.2,0.8000000000000007
2011-01-31,13.0,12.32,0.6799999999999997
2011-02-28,13.0,11.8,1.1999999999999993
2011-03-31,14.6,11.45,3.1500000000000004
2011-05-31,14.0,16.25,-2.25
2011-06-30,13.75,11.6,2.1500000000000004
2011-07-31,13.85,12.65,1.1999999999999993
2011-08-31,15.5,12.65,2.8499999999999996
2011-09-30,15.25,12.65,2.5999999999999996
2011-10-31,15.5,12.65,2.8499999999999996
2011-11-30,15.5,12.65,2.8499999999999996
2012-01-31,14.2,16.65,-2.4499999999999993
2012-02-29,15.0,16.85,-1.8500000000000014
2012-03-31,14.5,16.85,-2.3500000000000014
2012-04-30,13.6,16.85,-3.2500000000000018
2012-05-31,17.0,16.85,0.14999999999999858
2012-06-30,17.0,16.65,0.3500000000000014
2012-07-31,17.0,16.65,0.3500000000000014
2012-08-31,17.0,16.65,0.3500000000000014
2012-09-30,17.0,16.65,0.3500000000000014
2012-10-31,16.2,15.5,0.6999999999999993
2012-11-30,16.7,15.6,1.0999999999999996
2012-12-31,16.7,15.6,1.0999999999999996
2013-01-31,16.35,12.8,3.5500000000000007
2013-02-28,16.45,12.8,3.6499999999999986
2013-03-31,16.7,15.4,1.299999999999999
2013-05-31,16.7,15.4,1.299999999999999
2013-06-30,16.65,15.4,1.2499999999999982
2013-07-31,16.65,15.4,1.2499999999999982
2013-08-31,16.4,15.4,0.9999999999999982
2013-09-30,16.55,15.4,1.1500000000000004
2013-10-31,16.1,15.25,0.8500000000000014
2013-11-30,14.5,13.2,1.3000000000000007
2013-12-31,14.5,13.2,1.3000000000000007
2014-01-31,15.1,13.25,1.8499999999999996
2014-02-28,15.05,13.11,1.9400000000000013
2014-03-31,15.15,13.15,2.0
2014-04-30,15.4,13.61,1.790000000000001
2014-05-31,15.5,13.48,2.0199999999999996
2014-06-30,15.45,13.47,1.9799999999999986
2014-07-31,15.85,14.9,0.9499999999999993
2014-08-31,15.9,14.41,1.4900000000000002
2014-09-30,15.95,14.66,1.2899999999999991
2014-10-31,15.98,14.63,1.3499999999999996
2014-11-30,15.98,14.63,1.3499999999999996
2014-12-31,14.9,13.599,1.3010000000000002
2015-01-31,14.65,13.12,1.5300000000000011
2015-02-28,14.2,12.4,1.799999999999999
2015-03-31,14.2,12.4,1.799999999999999
2015-04-30,14.45,12.7,1.75
2015-05-31,14.55,12.97,1.58
2015-06-30,14.65,12.97,1.6799999999999997
2015-07-31,15.0,13.85,1.1500000000000004
