Date,ten_yr,five_yr,TermPremium
2008-01-31,10.874,9.698,1.176
2008-02-29,10.854,10.094,0.76
2008-03-31,10.703,10.9,-0.197
2008-04-30,10.618,10.804,-0.186
2008-05-31,10.639,10.501,0.138
2008-06-30,12.559,10.559,2.0
2008-07-31,12.713,11.561,1.152
2008-08-31,12.869,11.608,1.261
2008-09-30,12.893,11.615,1.278
2008-10-31,12.373,11.619,0.754
2008-11-30,12.306,11.639,0.667
2008-12-31,12.414,11.642,0.772
2009-01-31,12.207,10.516,1.691
2009-02-28,12.135,11.576,0.559
2009-03-31,11.535,12.122,-0.587
2009-04-30,11.642,12.075,-0.433
2009-05-31,11.454,11.651,-0.197
2009-06-30,11.302,11.077,0.225
2009-07-31,11.201,10.815,0.386
2009-08-31,9.959,9.479,0.48
2009-09-30,9.064,8.967,0.097
2009-10-31,9.07,8.935,0.135
2009-11-30,8.278,8.212,0.066
2009-12-31,8.679,9.335,-0.656
2010-01-31,8.672,8.205,0.467
2010-02-28,8.086,7.435,0.651
2010-03-31,6.671,4.618,2.053
2010-04-30,6.498,5.543,0.955
2010-05-31,7.147,6.652,0.495
2010-06-30,7.388,7.831,-0.443
2010-07-31,7.862,8.796,-0.934
2010-08-31,8.299,9.431,-1.132
2010-09-30,8.321,10.133,-1.812
2010-10-31,8.32,11.863,-3.543
2010-11-30,8.33,12.684,-4.354
2010-12-31,8.335,12.756,-4.421
2011-01-31,8.357,12.051,-3.694
2011-02-28,11.949,11.695,0.254
2011-03-31,12.625,12.599,0.026
2011-04-30,12.628,13.092,-0.464
2011-05-31,13.064,12.712,0.352
2011-06-30,12.718,12.954,-0.236
2011-07-31,12.885,12.231,0.654
2011-08-31,12.76,,
2011-09-30,11.515,,
2011-10-31,16.354,,
2011-11-30,16.385,,
2011-12-31,15.273,,
2012-01-31,16.243,,
2012-02-29,16.411,,
2012-03-31,16.095,,
2012-04-30,15.554,,
2012-05-31,15.564,,
2012-06-30,16.215,,
2012-07-31,16.452,16.569,-0.117
2012-08-31,16.385,16.42,-0.035
2012-09-30,13.279,14.325,-1.046
2012-10-31,13.806,14.043,-0.237
2012-11-30,12.997,14.04,-1.043
2012-12-31,12.221,12.922,-0.701
2013-01-31,11.701,11.954,-0.253
2013-02-28,11.219,10.952,0.267
2013-03-31,11.624,11.269,0.355
2013-04-30,12.055,11.862,0.193
2013-05-31,12.311,11.936,0.375
2013-06-30,14.442,14.075,0.367
2013-07-31,13.899,14.205,-0.306
2013-08-31,13.738,13.995,-0.257
2013-09-30,13.717,13.641,0.076
2013-10-31,13.542,13.652,-0.11
2013-11-30,12.818,12.821,-0.003
2013-12-31,13.259,13.17,0.089
2014-01-31,13.739,13.626,0.113
2014-02-28,14.061,13.964,0.097
2014-03-31,14.124,14.306,-0.182
2014-04-30,14.116,14.337,-0.221
