Date,ten_yr,five_yr,TermPremium
2003-12-31,6.49,6.7,-0.20999999999999996
2004-01-31,6.86,6.93,-0.0699999999999994
2004-02-29,6.72,6.75,-0.03000000000000025
2004-03-31,6.66,6.6,0.0600000000000005
2004-04-30,7.2,7.4,-0.20000000000000018
2004-05-31,7.35,7.54,-0.1900000000000004
2004-06-30,7.21,7.37,-0.16000000000000014
2004-07-31,7.48,7.82,-0.33999999999999986
2004-08-31,7.3,7.64,-0.33999999999999986
2004-09-30,6.74,6.97,-0.22999999999999954
2004-10-31,6.75,7.01,-0.2599999999999998
2004-11-30,6.39,6.66,-0.27000000000000046
2004-12-31,5.78,6.06,-0.27999999999999936
2005-01-31,5.95,6.14,-0.1899999999999995
2005-02-28,5.46,5.34,0.1200000000000001
2005-03-31,5.48,5.49,-0.009999999999999787
2005-04-30,5.55,5.54,0.009999999999999787
2005-05-31,5.1,5.15,-0.05000000000000071
2005-06-30,4.66,4.57,0.08999999999999986
2005-07-31,4.91,4.88,0.03000000000000025
2005-08-31,4.72,4.59,0.1299999999999999
2005-09-30,4.71,4.63,0.08000000000000007
2005-10-31,5.27,5.19,0.07999999999999918
2005-11-30,5.33,5.23,0.09999999999999964
2005-12-31,5.1,4.97,0.1299999999999999
2006-01-31,5.04,4.88,0.16000000000000014
2006-02-28,4.59,4.42,0.16999999999999993
2006-03-31,4.97,4.83,0.13999999999999968
2006-04-30,5.17,4.95,0.21999999999999975
2006-05-31,5.33,5.01,0.3200000000000003
2006-06-30,5.68,5.52,0.16000000000000014
2006-07-31,5.58,5.39,0.1900000000000004
2006-08-31,5.59,5.42,0.16999999999999993
2006-09-30,5.5,5.39,0.11000000000000032
2006-10-31,5.23,5.08,0.15000000000000036
2006-11-30,5.15,4.96,0.1900000000000004
2006-12-31,5.21,4.97,0.2400000000000002
2007-01-31,5.15,4.91,0.2400000000000002
2007-02-28,5.22,5.05,0.16999999999999993
2007-03-31,5.19,5.0,0.1900000000000004
2007-04-30,5.31,5.1,0.20999999999999996
2007-05-31,5.31,5.14,0.16999999999999993
2007-06-30,5.62,5.52,0.10000000000000053
2007-07-31,5.59,5.48,0.10999999999999943
2007-08-31,5.77,5.68,0.08999999999999986
2007-09-30,5.68,5.58,0.09999999999999964
2007-10-31,5.5,5.58,-0.08000000000000007
2007-11-30,5.78,5.99,-0.20999999999999996
2007-12-31,5.92,6.07,-0.15000000000000036
2008-01-31,5.66,5.71,-0.04999999999999982
2008-02-29,5.95,6.12,-0.16999999999999993
2008-03-31,5.96,6.09,-0.1299999999999999
2008-04-30,5.97,6.05,-0.08000000000000007
2008-05-31,6.27,6.38,-0.11000000000000032
2008-06-30,6.61,6.77,-0.15999999999999925
2008-07-31,6.24,6.3,-0.05999999999999961
2008-08-31,6.05,6.12,-0.07000000000000028
2008-09-30,5.84,5.98,-0.14000000000000057
2008-10-31,6.6,6.75,-0.15000000000000036
2008-11-30,5.86,5.8,0.0600000000000005
2008-12-31,5.47,5.29,0.17999999999999972
2009-01-31,5.71,5.05,0.6600000000000001
