Date,ten_yr,five_yr,TermPremium
2008-01-31,7.15,8.5,-1.3499999999999996
2008-02-29,7.29,8.68,-1.3899999999999997
2008-03-31,7.34,9.0,-1.6600000000000001
2008-04-30,7.35,9.201,-1.8510000000000009
2008-05-31,7.26,9.4,-2.1400000000000006
2008-06-30,7.15,9.25,-2.0999999999999996
2008-07-31,7.28,9.7,-2.419999999999999
2008-08-31,8.2,9.15,-0.9500000000000011
2008-09-30,8.32,9.953,-1.6329999999999991
2008-10-31,8.27,11.0,-2.7300000000000004
2008-11-30,8.38,10.8,-2.42
2008-12-31,8.38,12.26,-3.879999999999999
2009-01-31,9.23,10.72,-1.4900000000000002
2009-02-28,8.42,10.955,-2.535
2009-03-31,9.38,11.0,-1.6199999999999992
2009-04-30,9.77,10.4,-0.6300000000000008
2009-05-31,8.32,10.541,-2.221
2009-06-30,11.26,10.471,0.7889999999999997
2009-07-31,11.46,10.399,1.0610000000000017
2009-08-31,11.46,9.75,1.7100000000000009
2009-09-30,11.0,9.0,2.0
2009-10-31,9.13,9.801,-0.6709999999999994
2009-11-30,8.24,9.5,-1.2599999999999998
2009-12-31,8.66,9.5,-0.8399999999999999
2010-01-31,9.05,7.71,1.3400000000000007
2010-02-28,7.92,6.5,1.42
2010-03-31,7.11,6.534,0.5760000000000005
2010-04-30,6.97,6.302,0.6680000000000001
2010-05-31,7.27,6.0,1.2699999999999996
2010-06-30,7.1,7.551,-0.4510000000000005
2010-07-31,7.18,6.95,0.22999999999999954
2010-08-31,7.15,7.0,0.15000000000000036
2010-09-30,7.14,6.95,0.1899999999999995
2010-10-31,7.02,7.159,-0.13900000000000023
2010-11-30,7.04,7.15,-0.11000000000000032
2010-12-31,7.09,6.997,0.09299999999999997
2011-01-31,6.66,7.121,-0.4610000000000003
2011-02-28,7.03,6.8,0.23000000000000043
2011-03-31,7.31,6.951,0.359
2011-04-30,7.3,6.95,0.34999999999999964
2011-05-31,7.26,7.02,0.2400000000000002
2011-06-30,7.42,7.04,0.3799999999999999
2011-07-31,7.41,7.21,0.20000000000000018
2011-08-31,7.3,7.4,-0.10000000000000053
2011-09-30,7.28,7.45,-0.16999999999999993
2011-10-31,7.72,7.07,0.6499999999999995
2011-11-30,7.43,7.042,0.3879999999999999
2011-12-31,7.39,7.149,0.24099999999999966
2012-01-31,7.02,6.66,0.35999999999999943
