"Date","Price","Open","High","Low","Change %"
"16/10/2023","14.179","14.179","14.179","14.179","0.00%"
"13/10/2023","14.179","14.179","14.179","14.179","0.00%"
"12/10/2023","14.179","14.179","14.179","14.179","0.00%"
"11/10/2023","14.179","14.179","14.179","14.179","0.00%"
"10/10/2023","14.179","14.179","14.179","14.179","-0.05%"
"09/10/2023","14.186","14.186","14.186","14.186","-0.13%"
"06/10/2023","14.205","14.205","14.205","14.205","0.18%"
"05/10/2023","14.180","14.180","14.180","14.180","0.00%"
"04/10/2023","14.180","14.180","14.180","14.180","0.02%"
"03/10/2023","14.177","14.177","14.177","14.177","0.00%"
"29/09/2023","14.177","14.177","14.177","14.177","0.38%"
"28/09/2023","14.124","14.124","14.124","14.124","-0.01%"
"26/09/2023","14.125","14.125","14.125","14.125","0.00%"
"25/09/2023","14.125","14.125","14.125","14.125","0.00%"
"22/09/2023","14.125","14.125","14.125","14.125","0.00%"
"21/09/2023","14.125","14.125","14.125","14.125","0.91%"
"20/09/2023","13.998","13.998","13.998","13.998","0.00%"
"19/09/2023","13.998","13.998","13.998","13.998","0.71%"
"15/09/2023","13.900","13.900","13.900","13.900","0.00%"
"14/09/2023","13.900","13.900","13.900","13.900","-0.01%"
"13/09/2023","13.901","13.901","13.901","13.901","0.00%"
"12/09/2023","13.901","13.901","13.901","13.901","-0.01%"
"11/09/2023","13.902","13.902","13.902","13.902","0.00%"
"08/09/2023","13.902","13.902","13.902","13.902","0.00%"
"07/09/2023","13.902","13.902","13.902","13.902","2.03%"
"06/09/2023","13.625","13.625","13.625","13.625","0.00%"
"05/09/2023","13.625","13.625","13.625","13.625","-0.87%"
"04/09/2023","13.745","13.745","13.745","13.745","0.00%"
"01/09/2023","13.745","13.745","13.745","13.745","0.00%"
"31/08/2023","13.745","13.745","13.745","13.745","-0.01%"
"30/08/2023","13.747","13.747","13.747","13.747","1.05%"
"29/08/2023","13.604","13.604","13.604","13.604","-0.01%"
"28/08/2023","13.605","13.605","13.605","13.605","0.00%"
"25/08/2023","13.605","13.605","13.605","13.605","-0.01%"
"24/08/2023","13.606","13.606","13.606","13.606","-0.01%"
"23/08/2023","13.608","13.608","13.608","13.608","3.08%"
"22/08/2023","13.201","13.201","13.201","13.201","0.00%"
"21/08/2023","13.201","13.201","13.201","13.201","0.00%"
"18/08/2023","13.201","13.201","13.201","13.201","0.00%"
"17/08/2023","13.201","13.201","13.201","13.201","0.00%"
"16/08/2023","13.201","13.201","13.201","13.201","0.00%"
"15/08/2023","13.201","13.201","13.201","13.201","0.00%"
"14/08/2023","13.201","13.201","13.201","13.201","0.00%"
"11/08/2023","13.201","13.201","13.201","13.201","4.41%"
"10/08/2023","12.644","12.644","12.644","12.644","0.00%"
"09/08/2023","12.644","12.644","12.644","12.644","-0.01%"
"08/08/2023","12.645","12.645","12.645","12.645","0.00%"
"07/08/2023","12.645","12.645","12.645","12.645","0.00%"
"04/08/2023","12.645","12.645","12.645","12.645","-0.01%"
"03/08/2023","12.646","12.646","12.646","12.646","-0.01%"
"02/08/2023","12.647","12.647","12.647","12.647","0.00%"
"01/08/2023","12.647","12.647","12.647","12.647","0.00%"
"31/07/2023","12.647","12.647","12.647","12.647","-0.01%"
"28/07/2023","12.648","12.648","12.648","12.648","0.00%"
"27/07/2023","12.648","12.648","12.648","12.648","-0.01%"
"26/07/2023","12.649","12.649","12.649","12.649","1.99%"
"25/07/2023","12.402","12.402","12.402","12.402","0.00%"
"24/07/2023","12.402","12.402","12.402","12.402","-1.29%"
"21/07/2023","12.564","12.564","12.564","12.564","1.09%"
"20/07/2023","12.429","12.429","12.429","12.429","-1.07%"
"19/07/2023","12.563","12.563","12.563","12.563","0.54%"
"18/07/2023","12.496","12.496","12.496","12.496","0.00%"
"17/07/2023","12.496","12.496","12.496","12.496","0.00%"
"14/07/2023","12.496","12.496","12.496","12.496","-0.01%"
"13/07/2023","12.497","12.497","12.497","12.497","-0.01%"
"12/07/2023","12.498","12.498","12.498","12.498","-1.19%"
"11/07/2023","12.649","12.649","12.649","12.649","0.00%"
"10/07/2023","12.649","12.649","12.649","12.649","0.15%"
"07/07/2023","12.630","12.630","12.630","12.630","5.31%"
"06/07/2023","11.993","11.993","11.993","11.993","-0.02%"
"05/07/2023","11.995","11.995","11.995","11.995","0.00%"
"04/07/2023","11.995","11.995","11.995","11.995","-0.01%"
"03/07/2023","11.996","11.996","11.996","11.996","1.66%"
"30/06/2023","11.800","11.800","11.800","11.800","-0.03%"
"27/06/2023","11.804","11.804","11.804","11.804","-11.92%"
"26/06/2023","13.401","13.401","13.401","13.401","0.00%"
"23/06/2023","13.401","13.401","13.401","13.401","0.00%"
"22/06/2023","13.401","13.401","13.401","13.401","-1.10%"
"21/06/2023","13.550","13.550","13.550","13.550","0.00%"
"20/06/2023","13.550","13.550","13.550","13.550","0.52%"
"19/06/2023","13.480","13.480","13.480","13.480","-0.01%"
"16/06/2023","13.481","13.481","13.481","13.481","0.00%"
"15/06/2023","13.481","13.481","13.481","13.481","0.00%"
"14/06/2023","13.481","13.481","13.481","13.481","0.00%"
"13/06/2023","13.481","13.481","13.481","13.481","0.00%"
"09/06/2023","13.481","13.481","13.481","13.481","0.00%"
"08/06/2023","13.481","13.481","13.481","13.481","-0.01%"
"07/06/2023","13.482","13.482","13.482","13.482","0.00%"
"06/06/2023","13.482","13.482","13.482","13.482","-0.87%"
"05/06/2023","13.601","13.601","13.601","13.601","-0.73%"
"02/06/2023","13.701","13.701","13.701","13.701","0.00%"
"01/06/2023","13.701","13.701","13.701","13.701","-0.23%"
"31/05/2023","13.733","13.733","13.733","13.733","0.17%"
"30/05/2023","13.710","13.710","13.710","13.710","-1.37%"
"26/05/2023","13.901","13.901","13.901","13.901","0.00%"
"25/05/2023","13.901","13.901","13.901","13.901","0.00%"
"24/05/2023","13.901","13.901","13.901","13.901","0.00%"
"23/05/2023","13.901","13.901","13.901","13.901","-0.04%"
"22/05/2023","13.907","13.907","13.907","13.907","-0.06%"
"19/05/2023","13.916","13.916","13.916","13.916","-0.48%"
"18/05/2023","13.983","13.983","13.983","13.983","0.00%"
"17/05/2023","13.983","13.983","13.983","13.983","0.16%"
"16/05/2023","13.960","13.960","13.960","13.960","-0.29%"
"15/05/2023","14.001","14.001","14.001","14.001","0.00%"
"12/05/2023","14.001","14.001","14.001","14.001","-0.09%"
"11/05/2023","14.013","14.013","14.013","14.013","0.00%"
"10/05/2023","14.013","14.013","14.013","14.013","0.00%"
"09/05/2023","14.013","14.013","14.013","14.013","0.00%"
"08/05/2023","14.013","14.013","14.013","14.013","0.00%"
"05/05/2023","14.013","14.013","14.013","14.013","0.00%"
"04/05/2023","14.013","14.013","14.013","14.013","-0.04%"
"03/05/2023","14.019","14.019","14.019","14.019","0.00%"
"02/05/2023","14.019","14.019","14.019","14.019","-0.36%"
"28/04/2023","14.069","14.069","14.069","14.069","-0.04%"
"27/04/2023","14.075","14.075","14.075","14.075","-0.38%"
"26/04/2023","14.128","14.128","14.128","14.128","0.91%"
"20/04/2023","14.000","14.000","14.000","14.000","0.00%"
"19/04/2023","14.000","14.000","14.000","14.000","1.83%"
"18/04/2023","13.749","13.749","13.749","13.749","-1.78%"
"17/04/2023","13.998","13.998","13.998","13.998","0.00%"
"14/04/2023","13.998","13.998","13.998","13.998","0.00%"
"13/04/2023","13.998","13.998","13.998","13.998","0.00%"
"12/04/2023","13.998","13.998","13.998","13.998","0.00%"
"11/04/2023","13.998","13.998","13.998","13.998","-0.01%"
"06/04/2023","13.999","13.999","13.999","13.999","0.00%"
"05/04/2023","13.999","13.999","13.999","13.999","-0.01%"
"04/04/2023","14.000","14.000","14.000","14.000","0.00%"
"03/04/2023","14.000","14.000","14.000","14.000","0.00%"
"31/03/2023","14.000","14.000","14.000","14.000","0.31%"
"30/03/2023","13.957","13.957","13.957","13.957","-0.29%"
"29/03/2023","13.998","13.998","13.998","13.998","0.00%"
"28/03/2023","13.998","13.998","13.998","13.998","-0.01%"
"23/03/2023","13.999","13.999","13.999","13.999","-0.01%"
"22/03/2023","14.000","14.000","14.000","14.000","0.00%"
"21/03/2023","14.000","14.000","14.000","14.000","0.00%"
"20/03/2023","14.000","14.000","14.000","14.000","0.00%"
"17/03/2023","14.000","14.000","14.000","14.000","2.23%"
"16/03/2023","13.695","13.695","13.695","13.695","-0.01%"
"15/03/2023","13.696","13.696","13.696","13.696","0.68%"
"14/03/2023","13.604","13.604","13.604","13.604","0.00%"
"13/03/2023","13.604","13.604","13.604","13.604","0.00%"
"10/03/2023","13.604","13.604","13.604","13.604","-0.01%"
"09/03/2023","13.605","13.605","13.605","13.605","-0.01%"
"08/03/2023","13.606","13.606","13.606","13.606","0.29%"
"07/03/2023","13.567","13.567","13.567","13.567","4.99%"
"06/03/2023","12.922","12.922","12.922","12.922","-0.02%"
"03/03/2023","12.924","12.924","12.924","12.924","-0.01%"
"02/03/2023","12.925","12.925","12.925","12.925","-0.03%"
"01/03/2023","12.929","12.929","12.929","12.929","-0.85%"
"28/02/2023","13.040","13.040","13.040","13.040","-0.01%"
"27/02/2023","13.041","13.041","13.041","13.041","-0.02%"
"24/02/2023","13.043","13.043","13.043","13.043","-0.38%"
"23/02/2023","13.093","13.093","13.093","13.093","-0.03%"
"22/02/2023","13.097","13.097","13.097","13.097","-0.01%"
"21/02/2023","13.098","13.098","13.098","13.098","-0.73%"
"20/02/2023","13.194","13.194","13.194","13.194","-0.01%"
"17/02/2023","13.195","13.195","13.195","13.195","-0.01%"
"16/02/2023","13.196","13.196","13.196","13.196","-0.03%"
"15/02/2023","13.200","13.200","13.200","13.200","0.79%"
"14/02/2023","13.097","13.097","13.097","13.097","-0.02%"
"13/02/2023","13.099","13.099","13.099","13.099","-0.01%"
"10/02/2023","13.100","13.100","13.100","13.100","-0.01%"
"09/02/2023","13.101","13.101","13.101","13.101","-0.03%"
"08/02/2023","13.105","13.105","13.105","13.105","-2.19%"
"07/02/2023","13.399","13.399","13.399","13.399","-0.01%"
"06/02/2023","13.400","13.400","13.400","13.400","-0.01%"
"03/02/2023","13.401","13.401","13.401","13.401","0.34%"
"02/02/2023","13.356","13.356","13.356","13.356","-0.03%"
"01/02/2023","13.360","13.360","13.360","13.360","-0.01%"
"31/01/2023","13.361","13.361","13.361","13.361","-0.01%"
"30/01/2023","13.362","13.362","13.362","13.362","-0.01%"
"27/01/2023","13.363","13.363","13.363","13.363","-0.01%"
"26/01/2023","13.365","13.365","13.365","13.365","-0.02%"
"25/01/2023","13.368","13.368","13.368","13.368","-0.01%"
"24/01/2023","13.370","13.370","13.370","13.370","0.11%"
"23/01/2023","13.355","13.355","13.355","13.355","-3.88%"
"20/01/2023","13.894","13.894","13.894","13.894","-0.01%"
"19/01/2023","13.895","13.895","13.895","13.895","-0.02%"
"18/01/2023","13.898","13.898","13.898","13.898","-0.01%"
"17/01/2023","13.899","13.899","13.899","13.899","13.67%"
"16/01/2023","12.227","12.227","12.227","12.227","-0.02%"
"13/01/2023","12.229","12.229","12.229","12.229","-0.02%"
"12/01/2023","12.231","12.231","12.231","12.231","-0.04%"
"11/01/2023","12.236","12.236","12.236","12.236","-2.81%"
"10/01/2023","12.590","12.590","12.590","12.590","-0.01%"
"09/01/2023","12.591","12.591","12.591","12.591","-0.02%"
"06/01/2023","12.593","12.593","12.593","12.593","-0.01%"
"05/01/2023","12.594","12.594","12.594","12.594","-0.04%"
"04/01/2023","12.599","12.599","12.599","12.599","-0.02%"
"03/01/2023","12.601","12.601","12.601","12.601","-9.50%"
"30/12/2022","13.924","13.924","13.924","13.924","-0.01%"
"29/12/2022","13.925","13.925","13.925","13.925","-0.02%"
"28/12/2022","13.928","13.928","13.928","13.928","-0.01%"
