,RO: Interest Rate: Harmonised Long Term: 10 years
Region,Romania
Subnational,
Frequency,Monthly
Unit,% pa
Source,European Central Bank
Status,Active
Series ID,256310403
SR Code,SR141853077
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,04/2005
Last Obs. Date,09/2023
Last Update Time,12/10/2023
Series remarks,
Suggestions,
Mean,5.851801801801799
Variance,3.616148775019361
Standard Deviation,1.9016174102640524
Skewness,0.3020965600045214
Kurtosis,-0.39952913486609365
Coefficient Variation,0.3249627165565544
Min,2.65
Max,11.46
Median,6.155
No. of Obs,222
04/2005,6.75
05/2005,6.75
06/2005,7.07
07/2005,7.13
08/2005,7.13
09/2005,7.13
10/2005,6.84
11/2005,6.98
12/2005,7.15
01/2006,7.07
02/2006,6.97
03/2006,7.07
04/2006,6.94
05/2006,7.04
06/2006,7.12
07/2006,7.11
08/2006,7.41
09/2006,7.49
10/2006,7.56
11/2006,7.55
12/2006,7.42
01/2007,7.39
02/2007,7.52
03/2007,7.53
04/2007,7.39
05/2007,7.39
06/2007,6.99
07/2007,6.83
08/2007,6.87
09/2007,6.84
10/2007,6.85
11/2007,6.96
12/2007,7.05
01/2008,7.15
02/2008,7.29
03/2008,7.34
04/2008,7.35
05/2008,7.26
06/2008,7.15
07/2008,7.28
08/2008,8.2
09/2008,8.32
10/2008,8.27
11/2008,8.38
12/2008,8.38
01/2009,9.23
02/2009,8.42
03/2009,9.38
04/2009,9.77
05/2009,8.32
06/2009,11.26
07/2009,11.46
08/2009,11.46
09/2009,11
10/2009,9.13
11/2009,8.24
12/2009,8.66
01/2010,9.05
02/2010,7.92
03/2010,7.11
04/2010,6.97
05/2010,7.27
06/2010,7.1
07/2010,7.18
08/2010,7.15
09/2010,7.14
10/2010,7.02
11/2010,7.04
12/2010,7.09
01/2011,6.66
02/2011,7.03
03/2011,7.31
04/2011,7.3
05/2011,7.26
06/2011,7.42
07/2011,7.41
08/2011,7.3
09/2011,7.28
10/2011,7.72
11/2011,7.43
12/2011,7.39
01/2012,7.02
02/2012,6.99
03/2012,6.48
04/2012,6.24
05/2012,6.5
06/2012,6.68
07/2012,6.52
08/2012,6.84
09/2012,6.54
10/2012,6.85
11/2012,6.84
12/2012,6.65
01/2013,5.9
02/2013,5.72
03/2013,5.86
04/2013,5.46
05/2013,5.23
06/2013,5.43
07/2013,5.26
08/2013,5.04
09/2013,5.27
10/2013,5.22
11/2013,5.29
12/2013,5.29
01/2014,5.22
02/2014,5.35
03/2014,5.31
04/2014,5.15
05/2014,4.72
06/2014,4.48
07/2014,4.16
08/2014,4.21
09/2014,4.09
10/2014,3.9
11/2014,3.66
12/2014,3.68
01/2015,3.14
02/2015,2.83
03/2015,3.01
04/2015,3.25
05/2015,3.45
06/2015,3.84
07/2015,3.99
08/2015,3.86
09/2015,3.73
10/2015,3.47
11/2015,3.49
12/2015,3.62
01/2016,3.6
02/2016,3.33
03/2016,3.34
04/2016,3.43
05/2016,3.43
06/2016,3.48
07/2016,3.14
08/2016,2.93
09/2016,2.92
10/2016,2.94
11/2016,3.56
12/2016,3.73
01/2017,3.75
02/2017,3.96
03/2017,3.99
04/2017,3.79
05/2017,3.75
06/2017,3.67
07/2017,3.84
08/2017,3.86
09/2017,3.89
10/2017,4.17
11/2017,4.43
12/2017,4.4
01/2018,4.24
02/2018,4.49
03/2018,4.53
04/2018,4.46
05/2018,4.69
06/2018,4.95
07/2018,5.05
08/2018,4.8
09/2018,4.75
10/2018,4.9
11/2018,4.78
12/2018,4.6
01/2019,4.69
02/2019,4.79
03/2019,4.8
04/2019,4.91
05/2019,4.93
06/2019,4.59
07/2019,4.51
08/2019,4.12
09/2019,4.12
10/2019,4.12
11/2019,4.32
12/2019,4.57
01/2020,4.28
02/2020,4.04
03/2020,4.56
04/2020,4.83
05/2020,4.54
06/2020,3.89
07/2020,3.94
08/2020,3.88
09/2020,3.49
10/2020,3.29
11/2020,3.04
12/2020,2.94
01/2021,2.72
02/2021,2.65
03/2021,2.96
04/2021,2.84
05/2021,3.03
06/2021,3.11
07/2021,3.24
08/2021,3.72
09/2021,4
10/2021,4.75
11/2021,5.11
12/2021,5.37
01/2022,5.37
02/2022,5.6
03/2022,6.2
04/2022,6.61
05/2022,7.84
06/2022,8.74
07/2022,9.26
08/2022,8.14
09/2022,8.07
10/2022,9.13
11/2022,7.65
12/2022,7.17
01/2023,6.8
02/2023,7.46
03/2023,7.1
04/2023,7
05/2023,6.3
06/2023,6.11
07/2023,6.2
08/2023,6.34
09/2023,7.48
