,Money Supply M2: USD mn: Monthly: Poland
Region,Poland
Subnational,
Frequency,Monthly
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,384187617
SR Code,SR197265947
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,Dec-96
Last Obs. Date,Aug-23
Last Update Time,22/09/2023
Series remarks,
Suggestions,
Mean,234692.9312
Variance,19505525189
Standard Deviation,139662.1824
Skewness,0.263575681
Kurtosis,-1.044661363
Coefficient Variation,0.595084742
Min,46155.17593
Max,539676.8054
Median,250765.8215
No. of Obs,321
Dec-96,48700.65241
Jan-97,46259.55226
Feb-97,46155.17593
Mar-97,46840.30137
Apr-97,46675.674
May-97,47251.58255
Jun-97,46887.89014
Jul-97,46218.97401
Aug-97,46682.66734
Sep-97,48153.84564
Oct-97,48681.24018
Nov-97,48910.36847
Dec-97,50988.66003
Jan-98,50237.88199
Feb-98,51895.72837
Mar-98,53038.81137
Apr-98,54673.59682
May-98,54738.17747
Jun-98,56072.49734
Jul-98,58077.81307
Aug-98,54791.84144
Sep-98,57682.77033
Oct-98,60189.59373
Nov-98,60376.04387
Dec-98,63835.07449
Jan-99,61835.36431
Feb-99,59212.38147
Mar-99,59017.56858
Apr-99,59857.43829
May-99,60423.91815
Jun-99,61678.23956
Jul-99,63236.05155
Aug-99,62133.44788
Sep-99,61258.21905
Oct-99,61105.35939
Nov-99,60917.12211
Dec-99,64773.65306
Jan-00,61995.58513
Feb-00,63670.97493
Mar-00,65076.30902
Apr-00,61710.37189
May-00,63007.43043
Jun-00,66434.36878
Jul-00,65515.27957
Aug-00,65031.24509
Sep-00,63618.21073
Oct-00,63069.28295
Nov-00,66782.15737
Dec-00,72510.17016
Jan-01,73136.94513
Feb-01,74504.63594
Mar-01,75381.90244
Apr-01,78046.0841
May-01,78022.25457
Jun-01,78935.79218
Jul-01,75689.23792
Aug-01,76680.87042
Sep-01,77151.43602
Oct-01,80737.68366
Nov-01,78866.69717
Dec-01,82650.364
Jan-02,77684.31659
Feb-02,77577.78124
Mar-02,77674.64316
Apr-02,80325.01306
May-02,80496.52179
Jun-02,80307.46103
Jul-02,78485.56579
Aug-02,78710.16779
Sep-02,78110.34593
Oct-02,80503.05848
Nov-02,80234.18459
Dec-02,84491.61978
Jan-03,83765.62859
Feb-03,82549.3686
Mar-03,79640.06961
Apr-03,83837.15826
May-03,87597.25781
Jun-03,84107.44393
Jul-03,84697.71494
Aug-03,82544.07921
Sep-03,83381.58421
Oct-03,83847.82373
Nov-03,86225.62135
Dec-03,91661.60139
Jan-04,87565.87531
Feb-04,86554.38252
Mar-04,88139.6581
Apr-04,87141.96602
May-04,91111.53533
Jun-04,93486.65653
Jul-04,96198.96609
Aug-04,95922.19959
Sep-04,99153.28404
Oct-04,109629.9287
Nov-04,112990.7033
Dec-04,123299.27
Jan-05,117441.3317
Feb-05,125993.5517
Mar-05,120663.8343
Apr-05,116898.2433
May-05,117878.5393
Jun-05,116601.3948
Jul-05,116106.2727
Aug-05,119922.0872
Sep-05,123278.9624
Oct-05,123085.3966
Nov-05,123257.0822
Dec-05,127300.0089
Jan-06,129661.7787
Feb-06,131283.6688
Mar-06,129620.6737
Apr-06,137892.3488
May-06,141371.8014
Jun-06,138453.9785
Jul-06,143621.0496
Aug-06,146491.8081
Sep-06,144536.4608
Oct-06,149856.9195
Nov-06,161204.0552
Dec-06,165336.0131
Jan-07,160546.3266
Feb-07,166799.0373
Mar-07,171138.6692
Apr-07,180223.0166
May-07,177652.8372
Jun-07,181073.6336
Jul-07,184985.6818
Aug-07,186406.413
Sep-07,196443.4856
Oct-07,209848.5466
Nov-07,218019.8003
Dec-07,225603.4049
Jan-08,227517.6905
Feb-08,244259.122
Mar-08,255627.193
Apr-08,261365.5513
May-08,270027.7112
Jun-08,281003.2283
Jul-08,295266.0422
Aug-08,270940.4738
Sep-08,261389.8684
Oct-08,220381.7326
Nov-08,219205.8988
Dec-08,222918.4536
Jan-09,191842.8246
Feb-09,183403.5443
Mar-09,191682.0909
Apr-09,205484.6919
May-09,213895.7679
Jun-09,216637.1238
