,Domestic Liquidity & Counterpart Assets: M2 % of GDP
Region,Egypt
Subnational,
Frequency,Monthly
Unit,%
Source,Central Bank of Egypt
Status,Active
Series ID,98763307
SR Code,SR1125809
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/2002
Last Obs. Date,04/2023
Last Update Time,25/09/2023
Series remarks,
Suggestions,
Mean,76.94603779687506
Variance,64.33087516194439
Standard Deviation,8.0206530383719
Skewness,0.2709662048118604
Kurtosis,-0.7917396546968463
Coefficient Variation,0.10423737554291114
Min,61.99
Max,95.58
Median,76.36129381
No. of Obs,256
01/2002,79.78
02/2002,80.55
03/2002,80.99
04/2002,81.56
05/2002,83.06
06/2002,84.82
07/2002,81.3
08/2002,80.39
09/2002,81.33
10/2002,81.62
11/2002,82.01
12/2002,82.38
01/2003,86.24
02/2003,87.39
03/2003,88.16
04/2003,88.96
05/2003,90.78
06/2003,93.95
07/2003,89.6
08/2003,90.9
09/2003,91.97
10/2003,88.72
11/2003,89.68
12/2003,90.29
01/2004,91.5
02/2004,92.08
03/2004,92.33
04/2004,92.95
05/2004,95
06/2004,95.58
07/2004,88.61
08/2004,89.79
09/2004,80.81
10/2004,82.15
11/2004,83.22
12/2004,83.92
01/2005,84.15
02/2005,84.96
03/2005,85.85
04/2005,86.77
05/2005,87.84
06/2005,88.51
07/2005,80.43
08/2005,81.52
09/2005,81.85
10/2005,87.14
11/2005,87.51
12/2005,88.08
01/2006,89.18
02/2006,90.12
03/2006,90.16
04/2006,92.66
05/2006,92.95
06/2006,94.5
07/2006,85.28
08/2006,86.39
09/2006,79.76
10/2006,80.68
11/2006,80.46
12/2006,82.37
01/2007,81.74
02/2007,82.83
03/2007,83.63
04/2007,84.83
05/2007,89.04
06/2007,90.63
07/2007,79.24
08/2007,79.94
09/2007,80.53
10/2007,81.48
11/2007,83.21
12/2007,84.59
01/2008,80.84
02/2008,82.37
03/2008,84.39
04/2008,84.88
05/2008,85.02
06/2008,85.52
07/2008,70.59
08/2008,75.12
09/2008,74.8
10/2008,75.05
11/2008,75.46
12/2008,76.09
01/2009,76.39
02/2009,77
03/2009,77.86
04/2009,78.22
05/2009,79.61
06/2009,80.03
07/2009,70.74
08/2009,69.82
09/2009,70.77
10/2009,71.76
11/2009,71.29
12/2009,72.32
01/2010,71.92
02/2010,72.57
03/2010,73.61
04/2010,73.79
05/2010,74.26
06/2010,76.04
07/2010,66.95
08/2010,67.87
09/2010,68.81
10/2010,69.76
11/2010,69.9
12/2010,71
01/2011,70.69
02/2011,71.62
03/2011,72.03
04/2011,71.93
05/2011,72.49
06/2011,73.62
07/2011,64.9
08/2011,65.25
09/2011,65.25
10/2011,65.66
11/2011,65.71
12/2011,67.36
01/2012,67.68
02/2012,68.09
03/2012,68.4
04/2012,68.65
05/2012,69.22
06/2012,65.35
07/2012,61.99
08/2012,62.74
09/2012,63.25
10/2012,64.39
11/2012,64.55
12/2012,66.57
01/2013,68.33
02/2013,69.09
03/2013,70.55
04/2013,71.45
05/2013,72.35
06/2013,69.67
07/2013,64.2
08/2013,64.85
09/2013,65.12
10/2013,66.3
11/2013,66.88
12/2013,68.23
01/2014,70
02/2014,70.97
03/2014,72.01
04/2014,73.07
05/2014,74.31
06/2014,71.2
07/2014,64.27
08/2014,64.78
09/2014,64.22
10/2014,64.91
11/2014,65.43
12/2014,66.83
01/2015,67.7
02/2015,68.11
03/2015,69.98
04/2015,70.73
05/2015,71.55
06/2015,72.24
07/2015,63.51
08/2015,64.2
09/2015,66.77
10/2015,67.41
11/2015,67.72
12/2015,68.76
01/2016,68.9
02/2016,70.99
03/2016,73.4
04/2016,74.09
05/2016,75.48
06/2016,77.3
07/2016,65.33
08/2016,66.31
09/2016,67.28
10/2016,67.74520686
11/2016,80.16
12/2016,76.32839406
01/2017,77.85687538
02/2017,75.71159998
03/2017,79.07255449
04/2017,80.24700177
05/2017,82.12107779
06/2017,79.82
07/2017,77.31
08/2017,78.97
09/2017,80.19
10/2017,75.47851081
11/2017,76.76
12/2017,78.28
01/2018,73.33680862
02/2018,74.25284837
03/2018,75.34782068
04/2018,76.1585929
05/2018,76.65208608
06/2018,74.02856835
07/2018,74.15974535
08/2018,75.21383075
09/2018,75.93884374
10/2018,72.52
11/2018,72.89
12/2018,73.85
01/2019,68.39
02/2019,69.04
03/2019,69.98
04/2019,70.69
05/2019,71.34
06/2019,69.04291892
07/2019,69
08/2019,69.8
09/2019,71.23
10/2019,70.09
11/2019,70.6
12/2019,71.6
01/2020,71.14
02/2020,71.93
03/2020,73.48
04/2020,74.79
05/2020,76.49
06/2020,73.77056101
07/2020,76.89
08/2020,77.8
09/2020,79.05
10/2020,78.18
11/2020,78.83
12/2020,80.04
01/2021,78.21
02/2021,79.22
03/2021,80.93
04/2021,81.75
05/2021,82.91
06/2021,80.39213937
07/2021,78.84
08/2021,79.78
09/2021,77.33
10/2021,78.41
11/2021,79.64
12/2021,74.24
01/2022,74.93
02/2022,75.85
03/2022,80.08
04/2022,81.81
05/2022,82.88922475
06/2022,84.34157694
07/2022,76.33258762
08/2022,77.46506611
09/2022,79.08
10/2022,81.72
11/2022,83.26
12/2022,84.22733439
01/2023,87.72820652
02/2023,89.00682673
03/2023,90.63503167
04/2023,91.81383599
