date,bank_lending,broad_money,account_balance_pc,current_over_gdp,fer_pc,fer_gdp,rate_difference,portfolio_flows,reer,risk_premium,volatility,stock_price_mom,stock_price_24mma,term_premium,money_velocity
1961-01-01,NA,NA,NA,NA,-2.4247265432056575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-02-01,NA,NA,NA,NA,-2.4247265414342634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-03-01,NA,NA,NA,NA,-2.4247265386400096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-04-01,NA,NA,NA,NA,-2.4247265404092944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-05-01,NA,NA,NA,NA,-2.4247265415808017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-06-01,NA,NA,NA,NA,-2.424726542510003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-07-01,NA,NA,NA,NA,-2.4247265378844363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-08-01,NA,NA,NA,NA,-2.424726539485922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-09-01,NA,NA,NA,NA,-2.4247265432840615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-10-01,NA,NA,NA,NA,-2.424726544405975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-11-01,NA,NA,NA,NA,-2.4247265383012584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961-12-01,NA,NA,NA,NA,-2.424726541871214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-01-01,NA,NA,NA,NA,1.1593054785374424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-02-01,NA,NA,NA,NA,1.1593054755211218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-03-01,NA,NA,NA,NA,1.1593054726125596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962-04-01,NA,NA,NA,NA,1.159305471916472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
