,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
0,2023-10-09,19409.78,19776.111,134198.40156100143,454241.39204707474,673.9743259554289
1,2023-10-08,19357.42,19774.406,173877.32419600064,490530.5585642246,700.3788678738276
2,2023-10-04,19873.31,19767.761000000002,11140.591400999803,518770.7826122246,720.2574418999255
3,2023-10-03,19706.96,19726.315,374.6160249999831,546517.573881187,739.2682692238232
4,2023-10-02,19901.24,19686.5165,46106.18145225003,569874.9222689497,754.9006042314112
5,2023-10-01,20054.72,19627.754999999997,182299.11122500323,582824.1945563873,763.4292334960636
6,2023-09-27,20174.28,19568.71,366715.02489999967,601953.389923587,775.8565524139027
7,2023-09-26,20354.86,19500.9035,729241.7038922504,613034.849943387,782.9654206562299
8,2023-09-25,20320.56,19414.6275,820713.6945562548,597461.407096887,772.9562776101162
9,2023-09-24,20213.7,19327.841500000002,784745.2820222473,578048.5967803245,760.2950721794299
10,2023-09-21,20080.57,19242.986,701546.9570559982,559215.307365262,747.8069987404918
11,2023-09-20,19797.23,19149.3485,419750.43804224936,531287.5470277745,728.894743449131
12,2023-09-19,19954.3,19066.158000000003,788796.2121639933,516326.74010467436,718.5587937703319
13,2023-09-18,19751.78,18979.274500000003,596764.7475302432,487803.0342589874,698.4289758157141
14,2023-09-17,19668.82,18887.7095,610133.6132102482,460126.6243002752,678.32634056203
15,2023-09-14,19540.33,18805.9295,539344.094400255,435372.3177288754,659.8274908859704
16,2023-09-13,19361.7,18727.3765,402366.30265225284,412844.24027366267,642.5295637351348
17,2023-09-12,19144.09,18662.4165,232009.36060225076,401099.8554071625,633.324447188929
18,2023-09-11,19278.72,18603.478,455951.7585640027,395265.31994684995,628.7012962821453
19,2023-09-10,19577.85,18534.417,1088752.4254889942,377054.4104436624,614.0475636656026
20,2023-09-07,19375.68,18448.328,859981.7319039981,326798.7946910127,571.6631829066944
21,2023-09-06,19224.52,18365.054,738681.8051560007,285400.4785014254,534.2288634110155
22,2023-09-05,19044.39,18292.0095,566076.416780249,251849.17081607544,501.8457639714372
23,2023-09-04,18910.99,18227.2345,467521.583780254,227617.77966026295,477.0930513644723
24,2023-09-03,18726.01,18173.659,305091.6272009986,213732.13969976277,462.31173433059513
25,2023-08-31,18873.82,18122.233,564883.0185689993,203940.37639272545,451.5975823592565
26,2023-08-30,18818.15,18051.114,588344.2252960001,176199.70650208797,419.7614876356429
