,Date,Last Price,20 days average,Square of Difference,Square of Difference 20 days average,Volatility
0,2023-10-09,65008.48,65595.875,345032.88602499623,2034744.904412436,1426.4448480093565
1,2023-10-06,63903.35,65668.75349999999,3116649.5178122255,2147381.210875797,1465.3945580886389
2,2023-10-05,63799.77,65800.70300000001,4003732.8704890474,2142467.8992427,1463.7171513795622
3,2023-10-04,64282.18,65907.3605,2641211.6575802336,2271124.269844299,1507.0249731986194
4,2023-10-03,63776.83,66030.607,5079510.765729008,2329828.141237901,1526.3774570000373
5,2023-10-02,64190.54,66233.1955,4172441.4916802533,2128066.225787062,1458.789301368454
6,2023-09-29,65397.43,66441.4945,1090070.6801602507,1940237.4684594993,1392.9240713188567
7,2023-09-28,64417.96,66622.5035,4860012.043392281,1886707.539916799,1373.5747303721043
8,2023-09-27,64884.38,66823.17850000001,3758939.6236022953,1676703.9448816346,1294.876034561469
9,2023-09-26,65760.08,67027.9475,1607487.9975562324,1496099.5355487205,1223.151476943359
10,2023-09-25,65788.09,67179.68899999998,1936547.776800965,1441995.366826109,1200.8311150307977
11,2023-09-22,66519.31,67326.365,651337.7730250122,1392390.558248109,1179.9959992508911
12,2023-09-21,66528.72,67385.72099999999,734450.7140009817,1590776.48667691,1261.2598807053644
13,2023-09-20,67293.01,67459.6635,27773.389062250117,1766658.3169509093,1329.1569948470758
14,2023-09-19,66136.36,67502.6835,1866839.9066522461,1982655.8139618095,1408.0681141059226
15,2023-09-18,66439.42,67603.9215,1356063.7435022464,2146239.617732715,1465.00498897878
16,2023-09-15,67368.11,67696.7105,107978.28860025031,2345367.109354401,1531.4591438737114
17,2023-09-14,67199.88,67732.528,283713.8919040011,2696796.042170501,1642.1924497970695
18,2023-09-13,66663.75,67787.525,1262870.2506249868,3026021.2411109125,1739.546274495425
19,2023-09-12,66559.85,67898.59300000001,1792232.820049006,3205374.6333949775,1790.3560074451611
20,2023-09-11,66466.05,68077.80649999999,2597759.0152922133,3172812.4566545775,1781.2390228867594
21,2023-09-08,66542.34,68279.68950000001,3018383.2851502886,3069973.952633979,1752.1341137692568
22,2023-09-07,65932.92,68497.459,6576860.2825210225,2924448.2165725767,1710.1018146802187
23,2023-09-06,66747.11,68700.38650000001,3815289.085452278,2664851.0564777767,1632.4371523822217
24,2023-09-05,67828.6,68850.4965,1044272.4567122255,2572479.415045611,1603.8950760712532
25,2023-09-04,68356.52,69001.397,415866.3451289911,2522572.2824131125,1588.260772799326
26,2023-09-01,69017.61,69157.1525,19472.10930624886,2518410.5318848626,1586.9500722722385
27,2023-08-31,68431.46,69243.827,659940.1426889973,2517686.92162455,1586.7220681721642
28,2023-08-30,68979.76,69362.97200000001,146851.43694401078,2490853.7032072125,1578.2438668365585
29,2023-08-29,68794.91,69519.758,525404.6231039973,2658336.0294378255,1630.4404403221313
30,2023-08-28,68721.61,69693.43899999998,944451.6052409676,2886322.1220579394,1698.9179268163425
31,2023-08-25,67706.43,69855.629,4619056.341601034,3073940.1511643385,1753.2655677804028
32,2023-08-24,68007.57,70069.629,4252087.319480974,3136374.4934495986,1770.9812233475539
33,2023-08-23,68153.41,70238.5295,4347723.329280253,3135651.532600551,1770.7770985080394
34,2023-08-22,68161.12,70427.94950000002,5138515.982070348,3324263.5510377903,1823.2563042638274
35,2023-08-21,68295.2,70605.74399999999,5338613.575935974,3488390.383385518,1867.7233155329827
36,2023-08-18,68084.46,70755.8935,7136556.944922246,3589466.760076919,1894.588810290222
37,2023-08-17,68299.82,70920.5485,6868217.8707122365,3695810.3085180083,1922.449039251238
38,2023-08-16,68885.11,71087.36750000001,4849938.096306281,3967438.140208196,1991.8429004839202
39,2023-08-14,70144.12,71212.291,1140989.2852410045,4329593.286644133,2080.767475390783
40,2023-08-11,70503.71,71239.2295,540988.9348802425,4723003.389656695,2173.24719939005
41,2023-08-10,70897.73,71226.1635,107868.56392224946,5067852.252834296,2251.189075318707
42,2023-08-09,69991.47,71168.29500000001,1384917.0806250274,5337369.624875995,2310.2747942346587
43,2023-08-08,69749.31,71152.11299999998,1967856.256808959,5551703.741151945,2356.205369052525
44,2023-08-07,70846.61,71061.3885,46129.80406225015,5483857.145965109,2341.7636827752513
45,2023-08-04,71471.63,70894.888,332631.3345639981,5493031.089793247,2343.721632317551
46,2023-08-03,70751.1,70680.39,4999.904100000906,5478504.80324566,2340.620602157825
47,2023-08-02,70814.36,70463.2535,123275.77434224608,5492597.988581273,2343.6292344526837
48,2023-08-01,72115.48,70245.5875,3496497.9615562567,5497347.781625173,2344.6423568692035
49,2023-07-31,72268.53,70013.50749999999,5085126.475506279,5337120.249715473,2310.2208227170563
50,2023-07-28,71965.41,69798.19700000001,4696812.187368952,5145394.061845773,2268.346107155117
51,2023-07-27,71986.43,69564.0875,5867743.187306244,4925932.510477325,2219.4441895387513
52,2023-07-26,71385.58,69327.03,4237628.102500012,4656975.9952656245,2158.0027792534524
53,2023-07-25,71941.81,69092.25499999999,8119963.698025043,4452768.933494424,2110.1585090922495
54,2023-07-24,71717.01,68815.10500000001,8421052.629024908,4049747.316797685,2012.3983991242105
55,2023-07-21,71298.19,68585.232,7360141.109763993,3683869.2564856387,1919.3408390605455
56,2023-07-20,71377.56,68333.972,9263427.913744021,3320997.860953489,1822.3605189296352
57,2023-07-19,71636.2,68128.954,12300774.504515994,2963642.070767538,1721.5231833372266
58,2023-07-18,71383.58,67906.075,12093041.025025032,2463241.459090187,1569.4717133768888
59,2023-07-17,70682.89,67681.3585,9009191.345492234,1944759.696289448,1394.546412382696
60,2023-07-14,70242.39,67515.1265,7437966.198432256,1666295.6407798494,1290.8507430295144
61,2023-07-13,69740.36,67395.5325,5498216.004756248,1599173.4071542847,1264.584282345105
